Cluster,Lead Investors Include,Industry
5,Sprints,Consumer & Retail
0,Motive Partners,Financial Services
2,Multiple Investors,Enterprise Tech
1,SDIC Fund Management,Industrials
2,Teachers Venture Growth,Enterprise Tech
0,Multiple Investors,Consumer & Retail
1,Chengtong Mixed Reform,Industrials
2,Multiple Investors,Enterprise Tech
0,Multiple Investors,Healthcare & Life Sciences
2,Mingde Holdings,Enterprise Tech
5,Ardian,Consumer & Retail
1,Multiple Investors,Industrials
2,Glade Brook Capital Partners,Enterprise Tech
0,Treasury,Financial Services
2,Multiple Investors,Enterprise Tech
2,Evolution Equity Partners,Enterprise Tech
0,Goldman Sachs,Insurance
0,Canada Pension Plan Investment Board,Financial Services
0,Tiger Global Management,Financial Services
0,Multiple Investors,Consumer & Retail
2,ServiceNow,Enterprise Tech
2,Multiple Investors,Enterprise Tech
0,Left Lane Capital,Financial Services
0,Multiple Investors,Financial Services
0,Multiple Investors,Financial Services
2,Bain Capital Tech Opportunities,Enterprise Tech
3,Serum Life Sciences,Healthcare & Life Sciences
3,Intel Capital,Healthcare & Life Sciences
2,Multiple Investors,Enterprise Tech
2,Korelya Capital,Enterprise Tech
0,Multiple Investors,Financial Services
0,Valar Ventures,Financial Services
2,Moody's Investors Service,Enterprise Tech
0,Multiple Investors,Financial Services
5,IFC,Consumer & Retail
1,Dongfeng Asset Management,Industrials
1,Multiple Investors,Industrials
0,Multiple Investors,Financial Services
0,Kingsway Capital,Financial Services
5,Goldman Sachs Asset Management,Consumer & Retail
5,Georgian,Consumer & Retail
1,Zhongping Capital,Industrials
2,Liberty Strategic Capital,Enterprise Tech
5,Qualcomm Ventures,Consumer & Retail
2,Valour,Enterprise Tech
1,Multiple Investors,Industrials
0,LeapFrog Investments,Insurance
1,Momentum Ventures,Industrials
1,Multiple Investors,Industrials
3,NEC Corporation,Healthcare & Life Sciences
1,Fidelity Management and Research Company,Industrials
2,New Enterprise Associates,Enterprise Tech
0,Weatherford Capital,Insurance
5,TSG Consumer Partners,Consumer & Retail
2,Insight Partners,Enterprise Tech
2,Bond,Enterprise Tech
0,Citi,Financial Services
0,Pollen Street Capital,Financial Services
1,Multiple Investors,Industrials
1,Marubeni,Industrials
0,Third Point Ventures,Financial Services
0,JP Morgan Chase,Financial Services
1,Mutua Madrileña,Industrials
3,Coatue,Healthcare & Life Sciences
0,Hamilton Lane,Financial Services
2,Multiple Investors,Enterprise Tech
2,OpenView,Enterprise Tech
3,Lightspeed Venture Partners,Healthcare & Life Sciences
2,SDIC Venture Capital,Enterprise Tech
3,SoftBank Vision Fund,Insurance
4,Headline,Media & Entertainment
0,Multiple Investors,Financial Services
1,Guangzhou Industrial Investment Group,Industrials
1,Suzhou Xiangcheng Financial Holding Group,Industrials
0,Multiple Investors,Financial Services
3,Durable Capital Partners,Healthcare & Life Sciences
2,Multiple Investors,Enterprise Tech
1,Multiple Investors,Industrials
3,CVS Health Ventures,Healthcare & Life Sciences
1,LeapFrog Investments,Industrials
3,Oak HC/FT,Healthcare & Life Sciences
1,Multiple Investors,Industrials
0,Goldman Sachs,Insurance
3,Sixth Street,Healthcare & Life Sciences
5,GoTo Group,Consumer & Retail
1,ZA Tech,Industrials
1,Alpha Wave Global,Industrials
1,Multiple Investors,Industrials
0,Bain Capital,Financial Services
5,Legacy Knight,Consumer & Retail
0,Silver Lake,Financial Services
2,Lightspeed Venture Partners,Enterprise Tech
3,Memorial Hermann Foundation,Healthcare & Life Sciences
2,OKX Ventures,Enterprise Tech
3,SoftBank Vision Fund,Healthcare & Life Sciences
2,Alpha Wave Ventures,Enterprise Tech
2,Multiple Investors,Enterprise Tech
0,GIC,Financial Services
4,Andreessen Horowitz,Media & Entertainment
0,Multiple Investors,Financial Services
2,Durable Capital Partners,Enterprise Tech
5,ZHEFU Holding,Consumer & Retail
2,Tiger Global Management,Enterprise Tech
5,CapitalG,Consumer & Retail
0,Everbright-IDG Industrial Fund,Financial Services
2,Orient Securities Capital Investment,Enterprise Tech
1,Multiple Investors,Industrials
1,Oceanpine Capital,Industrials
0,Alameda Research,Financial Services
5,G Squared,Consumer & Retail
5,Cristiano Ronaldo,Consumer & Retail
2,Multiple Investors,Enterprise Tech
5,DST Global,Consumer & Retail
0,Coinbase,Financial Services
2,Greenspring Associates,Enterprise Tech
5,SC.Holdings,Consumer & Retail
3,SoftBank,Healthcare & Life Sciences
0,GGV Capital,Financial Services
2,Blackstone Group,Enterprise Tech
3,SoftBank Vision Fund,Healthcare & Life Sciences
2,Multiple Investors,Enterprise Tech
5,Tencent,Consumer & Retail
1,Multiple Investors,Industrials
0,Prysm Capital,Financial Services
0,Multiple Investors,Financial Services
0,Eldridge,Financial Services
2,Thrive Capital,Enterprise Tech
2,Multiple Investors,Enterprise Tech
1,Multiple Investors,Industrials
2,Multiple Investors,Enterprise Tech
0,Multiple Investors,Financial Services
3,Sequoia Capital,Healthcare & Life Sciences
2,Goldman Sachs Asset Management,Enterprise Tech
0,Multiple Investors,Media & Entertainment
0,Coatue,Financial Services
2,Multiple Investors,Enterprise Tech
4,Andreessen Horowitz,Media & Entertainment
1,Multiple Investors,Industrials
0,Multiple Investors,Healthcare & Life Sciences
0,Multiple Investors,Insurance
2,Greenoaks,Enterprise Tech
2,Ontario Teachers' Pension Plan,Enterprise Tech
0,Multiple Investors,Financial Services
1,TCV,Industrials
2,Inovia Capital,Enterprise Tech
2,Multiple Investors,Enterprise Tech
0,Multiple Investors,Financial Services
0,Multiple Investors,Financial Services
0,Multiple Investors,Financial Services
0,Accel,Financial Services
3,Health Care Service Corporation,Healthcare & Life Sciences
2,Multiple Investors,Enterprise Tech
0,Multiple Investors,Healthcare & Life Sciences
3,US Innovative Technology Fund,Healthcare & Life Sciences
5,SoftBank Vision Fund,Consumer & Retail
2,Accel,Enterprise Tech
1,Tiger Global Management,Industrials
0,Multiple Investors,Healthcare & Life Sciences
2,JPMorgan Partners,Enterprise Tech
3,Sixth Street,Healthcare & Life Sciences
2,ParaFi Capital,Enterprise Tech
0,Multiple Investors,Consumer & Retail
2,Tiger Global Management,Enterprise Tech
2,Sixth Street,Enterprise Tech
2,Liberty Strategic Capital,Enterprise Tech
4,Baidu,Media & Entertainment
2,Insight Partners,Enterprise Tech
2,Multiple Investors,Enterprise Tech
2,Magnetar Capital,Enterprise Tech
2,China Development Bank,Enterprise Tech
5,Wellington Management,Consumer & Retail
0,GIC,Financial Services
0,Andbank,Financial Services
2,Tiger Global Management,Enterprise Tech
2,Tiger Global Management,Enterprise Tech
0,Multiple Investors,Financial Services
1,G2 Venture Partners,Industrials
2,Multiple Investors,Enterprise Tech
0,Andreessen Horowitz,Financial Services
2,Multiple Investors,Enterprise Tech
0,Multiple Investors,Consumer & Retail
0,Carrick Capital Partners,Financial Services
0,Sinar Mas Group,Financial Services
4,Coatue,Media & Entertainment
2,State Bank of India,Enterprise Tech
2,Wellington Management,Enterprise Tech
2,Fidelity,Enterprise Tech
2,Multiple Investors,Enterprise Tech
2,GS Growth,Enterprise Tech
2,Altimeter Capital,Enterprise Tech
0,Multiple Investors,Consumer & Retail
2,IVP,Enterprise Tech
2,Alibaba Group,Enterprise Tech
2,Multiple Investors,Enterprise Tech
0,Multiple Investors,Consumer & Retail
2,Kleiner Perkins,Enterprise Tech
3,Mérieux Equity Partners,Healthcare & Life Sciences
2,Eurazeo,Enterprise Tech
0,Multiple Investors,Consumer & Retail
2,Multiple Investors,Enterprise Tech
2,ICONIQ Growth,Enterprise Tech
1,Multiple Investors,Industrials
0,Multiple Investors,Financial Services
1,Multiple Investors,Industrials
1,Guangzhou Automobile Group,Industrials
0,Peak XV Partners,Insurance
3,Optum Ventures,Healthcare & Life Sciences
4,Insight Partners,Media & Entertainment
1,Hexagon,Industrials
0,Multiple Investors,Financial Services
1,Accel,Industrials
1,Industrial Bank,Industrials
0,Multiple Investors,Financial Services
2,Bain Capital Ventures,Enterprise Tech
0,Multiple Investors,Healthcare & Life Sciences
3,Eurazeo,Healthcare & Life Sciences
4,Zeev Ventures,Media & Entertainment
2,Zeus Entertainment,Enterprise Tech
1,WestCap,Industrials
2,Multiple Investors,Enterprise Tech
4,Index Ventures,Media & Entertainment
0,Multiple Investors,Media & Entertainment
2,Adams Street Partners,Enterprise Tech
2,D2 Investments,Enterprise Tech
0,Multiple Investors,Financial Services
5,57 Stars,Consumer & Retail
2,Caisse de Depot et Placement du Quebec,Enterprise Tech
2,Multiple Investors,Enterprise Tech
0,TPG,Financial Services
5,Affinity Partners,Consumer & Retail
2,Multiple Investors,Enterprise Tech
2,Coatue,Enterprise Tech
5,D1 Capital Partners,Consumer & Retail
3,Trustbridge Partners,Healthcare & Life Sciences
0,Insight Partners,Insurance
0,Multiple Investors,Consumer & Retail
0,Advent International,Financial Services
1,Sequoia Capital China,Industrials
2,Multiple Investors,Enterprise Tech
1,G42 Expansion Fund,Industrials
2,SoftBank Vision Fund,Enterprise Tech
1,Multiple Investors,Industrials
2,Harmonic Growth Partners,Enterprise Tech
1,Multiple Investors,Industrials
1,Siemens Financial Services,Industrials
0,Multiple Investors,Healthcare & Life Sciences
0,H Capital Advance,Financial Services
2,Sixth Street,Enterprise Tech
0,TCV,Financial Services
0,Lightspeed Venture Partners,Financial Services
2,Multiple Investors,Enterprise Tech
1,Multiple Investors,Industrials
1,Multiple Investors,Industrials
2,Multiple Investors,Enterprise Tech
2,Brookfield Growth,Enterprise Tech
0,Multiple Investors,Media & Entertainment
1,T. Rowe Price,Industrials
3,Nordic Capital,Healthcare & Life Sciences
2,BDT & MSD Partners,Enterprise Tech
2,Multiple Investors,Enterprise Tech
2,Multiple Investors,Enterprise Tech
2,Multiple Investors,Enterprise Tech
0,SoftBank Vision Fund,Financial Services
1,Multiple Investors,Industrials
2,Wanda E-Commerce,Enterprise Tech
3,SoftBank Vision Fund,Insurance
0,China Minsheng Financial Holdings,Financial Services
1,Multiple Investors,Industrials
2,TPG Growth,Enterprise Tech
3,Trish Costello,Healthcare & Life Sciences
3,New Enterprise Associates,Healthcare & Life Sciences
0,Multiple Investors,Healthcare & Life Sciences
2,Owl Rock Capital,Enterprise Tech
1,Goldman Sachs Asset Management,Industrials
2,Multiple Investors,Enterprise Tech
3,SoftBank Vision Fund,Insurance
2,Multiple Investors,Enterprise Tech
5,SoftBank Vision Fund,Consumer & Retail
5,Milano Investment Partners SGR,Consumer & Retail
5,SoftBank Vision Fund,Consumer & Retail
5,Temasek Holdings,Consumer & Retail
2,Multiple Investors,Enterprise Tech
2,Atomico,Enterprise Tech
0,Multiple Investors,Financial Services
0,Multiple Investors,Consumer & Retail
1,Fidelity Management and Research Company,Industrials
0,Conexo Ventures,Financial Services
2,DST Global,Enterprise Tech
2,Multiple Investors,Enterprise Tech
5,Hamilton Lane,Consumer & Retail
4,Goldman Sachs,Media & Entertainment
0,Thoma Bravo,Financial Services
2,Multiple Investors,Enterprise Tech
0,Multiple Investors,Financial Services
2,Alkeon Capital,Enterprise Tech
1,AE Industrial Partners,Industrials
5,PremjiInvest,Consumer & Retail
5,CCB International,Consumer & Retail
0,Multiple Investors,Healthcare & Life Sciences
2,Andreessen Horowitz,Enterprise Tech
1,Vista Equity Partners,Industrials
1,Buer Capital,Industrials
2,Paradigm,Enterprise Tech
1,Multiple Investors,Industrials
1,BlackRock,Industrials
1,Shopify,Industrials
5,DoorDash,Consumer & Retail
5,Tencent,Consumer & Retail
5,Canyon Partners,Consumer & Retail
1,SoftBank Vision Fund,Industrials
5,Tiger Global Management,Consumer & Retail
0,Meritech Capital Partners,Financial Services
0,Andreessen Horowitz,Financial Services
0,B Capital,Financial Services
2,WestCap,Enterprise Tech
1,Multiple Investors,Industrials
1,SoftBank Vision Fund,Industrials
4,Kora,Media & Entertainment
2,Tiger Global Management,Enterprise Tech
1,Disruptive,Industrials
0,Multiple Investors,Healthcare & Life Sciences
2,Mitsui & Co,Enterprise Tech
0,MacRitchie Investments,Financial Services
2,TPG Capital Asia,Enterprise Tech
3,Roche,Healthcare & Life Sciences
2,Accomplice,Enterprise Tech
2,Multiple Investors,Enterprise Tech
1,Multiple Investors,Industrials
1,Multiple Investors,Industrials
2,Permira,Enterprise Tech
0,Gopher Asset Management,Financial Services
0,Healthcare of Ontario Pension Plan (HOOPP),Financial Services
2,Guizhou Innovation Empowerment Big Data Investment Fund,Enterprise Tech
2,Multiple Investors,Enterprise Tech
2,Mubadala,Enterprise Tech
1,Multiple Investors,Industrials
1,CCB International,Industrials
4,Malabar Investment Advisors,Media & Entertainment
0,Ribbit Capital,Financial Services
1,Jintuo Capital,Industrials
1,CPE,Industrials
5,Insight Partners,Consumer & Retail
2,ICONIQ Growth,Enterprise Tech
0,Draper Dragon,Financial Services
3,Flagship Pioneering,Healthcare & Life Sciences
4,Silver Lake,Media & Entertainment
2,Multiple Investors,Enterprise Tech
1,Pelham Capital,Industrials
5,Blue Pool Capital,Consumer & Retail
0,Reliance Jio,Financial Services
2,Sequoia Capital,Enterprise Tech
2,Insight Partners,Enterprise Tech
5,PremjiInvest,Consumer & Retail
5,Lone Pine Capital,Consumer & Retail
1,Multiple Investors,Industrials
2,Insight Partners,Enterprise Tech
5,Park West Asset Management,Consumer & Retail
0,Permira,Financial Services
2,Multiple Investors,Enterprise Tech
2,Tiger Global Management,Enterprise Tech
1,Multiple Investors,Industrials
2,Franklin Templeton Investments,Enterprise Tech
0,Multiple Investors,Consumer & Retail
5,Prosus & Naspers,Consumer & Retail
5,SoftBank Vision Fund,Consumer & Retail
5,Goldman Sachs,Consumer & Retail
2,Vista Credit Partners,Enterprise Tech
0,Hanwha Asset Management,Financial Services
1,Multiple Investors,Industrials
2,GIC,Enterprise Tech
2,Ontario Teachers' Pension Plan,Enterprise Tech
0,Andreessen Horowitz,Financial Services
2,Multiple Investors,Enterprise Tech
1,Earth Venture Capital,Industrials
5,Energy Impact Partners,Consumer & Retail
0,ICONIQ Growth,Financial Services
5,301,Consumer & Retail
5,BlackRock Private Equity Partners,Consumer & Retail
1,SAIC Venture Capital,Industrials
0,General Atlantic,Financial Services
2,Wellington Management,Enterprise Tech
0,Multiple Investors,Consumer & Retail
2,Tiger Global Management,Enterprise Tech
0,Multiple Investors,Healthcare & Life Sciences
5,General Atlantic,Consumer & Retail
1,Multiple Investors,Industrials
2,Commonwealth Bank of Australia,Enterprise Tech
0,Multiple Investors,Financial Services
4,SK Telecom,Media & Entertainment
1,Capital Today,Industrials
3,Warburg Pincus,Healthcare & Life Sciences
2,Multiple Investors,Enterprise Tech
2,Multiple Investors,Enterprise Tech
1,Bank of China Group Investment,Industrials
0,Anthemis Group,Financial Services
2,Norwest Venture Partners,Enterprise Tech
5,STORY3 Capital Partners,Consumer & Retail
2,Greenoaks,Enterprise Tech
0,Multiple Investors,Consumer & Retail
2,Atlassian Ventures,Enterprise Tech
2,Spark Capital,Enterprise Tech
3,Hildred Capital Partners,Healthcare & Life Sciences
3,Bain Capital Life Sciences,Healthcare & Life Sciences
1,Sam Altman,Industrials
2,Multiple Investors,Enterprise Tech
1,Multiple Investors,Industrials
2,General Catalyst,Enterprise Tech
0,Multiple Investors,Consumer & Retail
0,Multiple Investors,Consumer & Retail
2,Multiple Investors,Enterprise Tech
0,Multiple Investors,Financial Services
2,Multiple Investors,Enterprise Tech
4,Jump Crypto,Media & Entertainment
0,Multiple Investors,Healthcare & Life Sciences
2,Multiple Investors,Enterprise Tech
2,Glynn Capital Management,Enterprise Tech
0,Multiple Investors,Consumer & Retail
1,Ginko Ventures,Industrials
0,Zeev Ventures,Financial Services
2,Tiger Global Management,Enterprise Tech
3,Baillie Gifford,Healthcare & Life Sciences
2,Multiple Investors,Enterprise Tech
5,Capital One Ventures,Consumer & Retail
1,Chery Automobile,Industrials
5,Telescope Partners,Consumer & Retail
5,TCV,Consumer & Retail
5,ICONIQ Growth,Consumer & Retail
1,Multiple Investors,Industrials
1,Multiple Investors,Industrials
2,ZJ Innopark (Zhangjiang Hi-Tech Park),Enterprise Tech
5,Crescent Group (Crescent Point),Consumer & Retail
1,Hongtai Fund,Industrials
2,Salesforce Ventures,Enterprise Tech
2,China Oceanwide,Enterprise Tech
5,Jinan Industrial Development Group,Consumer & Retail
5,SDIC Venture Capital,Consumer & Retail
5,China Minsheng Investment Group,Consumer & Retail
0,BlackRock,Financial Services
3,Emerging Technology Partners,Healthcare & Life Sciences
4,ByteDance,Media & Entertainment
2,Multiple Investors,Enterprise Tech
5,Insight Partners,Consumer & Retail
5,Koch Disruptive Technologies,Consumer & Retail
0,Bank of America,Financial Services
3,China Bridge Capital,Healthcare & Life Sciences
2,Silicon Valley Bank,Enterprise Tech
2,TA Associates,Enterprise Tech
1,Tiger Global Management,Industrials
5,Viking Global Investors,Consumer & Retail
5,Apax Partners,Consumer & Retail
5,L Catterton,Consumer & Retail
0,Multiple Investors,Consumer & Retail
2,Thoma Bravo,Enterprise Tech
2,Astera Institute,Enterprise Tech
2,Koch Disruptive Technologies,Enterprise Tech
2,Databricks Ventures,Enterprise Tech
4,Temasek Holdings,Media & Entertainment
2,Qatar Investment Authority,Enterprise Tech
2,Thoma Bravo,Enterprise Tech
5,Mirae Asset,Consumer & Retail
0,Multiple Investors,Media & Entertainment
1,Multiple Investors,Industrials
3,The Carlyle Group,Healthcare & Life Sciences
2,Multiple Investors,Enterprise Tech
0,FMO,Financial Services
3,Base10 Partners,Healthcare & Life Sciences
1,Insight Partners,Industrials
1,Qatar Investment Authority,Industrials
2,Multiple Investors,Enterprise Tech
2,Multiple Investors,Enterprise Tech
2,One Equity Partners,Enterprise Tech
1,Mars Growth Capital,Industrials
0,Jump Crypto,Financial Services
2,Lightbox,Enterprise Tech
0,Multiple Investors,Media & Entertainment
3,Mubadala Capital Ventures,Healthcare & Life Sciences
1,Hermitage Capital,Industrials
2,Qatar Investment Authority,Enterprise Tech
3,NHS England,Healthcare & Life Sciences
2,Hg,Enterprise Tech
2,Multiple Investors,Enterprise Tech
2,Tribe Capital,Enterprise Tech
2,Swedbank Robur,Enterprise Tech
3,Janus Henderson Investors,Healthcare & Life Sciences
2,Kleiner Perkins,Enterprise Tech
2,Broadway Angels,Enterprise Tech
0,Visa,Financial Services
0,Multiple Investors,Financial Services
2,Spark Capital,Enterprise Tech
2,Silver Lake Waterman,Enterprise Tech
1,Schonfeld Strategic Advisors,Industrials
3,Advent International,Healthcare & Life Sciences
2,Franklin Templeton Investments,Enterprise Tech
2,Prysm Capital,Enterprise Tech
1,Blackstone Group,Industrials
4,Goldman Sachs,Media & Entertainment
2,Viking Global Investors,Enterprise Tech
0,Left Lane Capital,Financial Services
2,Multiple Investors,Enterprise Tech
4,IMM Investment,Media & Entertainment
1,Tencent,Industrials
2,Insight Partners,Enterprise Tech
1,Mubadala,Industrials
5,Gojek,Consumer & Retail
2,Tencent,Enterprise Tech
3,SoftBank Vision Fund,Media & Entertainment
1,BMW i Ventures,Industrials
5,China Renaissance,Consumer & Retail
0,Linkface,Financial Services
5,Sequoia Capital China,Consumer & Retail
1,Multiple Investors,Industrials
1,Multiple Investors,Industrials
2,Multiple Investors,Enterprise Tech
1,CSOT,Industrials
5,G42,Consumer & Retail
0,Multiple Investors,Consumer & Retail
0,RRJ Capital,Financial Services
0,Multiple Investors,Financial Services
2,Sapphire Ventures,Enterprise Tech
2,Tribe Capital,Enterprise Tech
2,Multiple Investors,Enterprise Tech
2,Goldman Sachs,Enterprise Tech
1,Guangzhou Automobile Group,Industrials
0,Multiple Investors,Healthcare & Life Sciences
4,Tiger Global Management,Media & Entertainment
2,Hy,Enterprise Tech
2,Anchor Equity Partners,Enterprise Tech
5,GS Retail,Consumer & Retail
2,Serena Williams,Enterprise Tech
4,DST Global,Media & Entertainment
2,TPG,Enterprise Tech
1,General Catalyst,Industrials
3,SoftBank Vision Fund,Healthcare & Life Sciences
5,Berkshire Partners,Consumer & Retail
2,Sixth Street,Enterprise Tech
0,QED Investors,Insurance
3,Morgan Health,Healthcare & Life Sciences
5,SoftBank Vision Fund,Consumer & Retail
5,JD.com,Consumer & Retail
5,Coty,Consumer & Retail
0,SoftBank Vision Fund,Financial Services
5,Aspex Management,Consumer & Retail
5,Alibaba Group,Consumer & Retail
1,T. Rowe Price,Industrials
3,Coatue,Healthcare & Life Sciences
0,Multiple Investors,Financial Services
2,Tiger Global Management,Enterprise Tech
4,DSC Investment,Media & Entertainment
5,Tybourne Capital Management,Consumer & Retail
0,Morgan Stanley Tactical Value,Financial Services
0,Multiple Investors,Financial Services
0,Multiple Investors,Financial Services
0,Mizuho Bank,Financial Services
0,Multiple Investors,Healthcare & Life Sciences
4,Tencent,Media & Entertainment
5,Hillhouse Capital Group,Consumer & Retail
1,CPE,Industrials
1,CPE,Industrials
0,Kaszek,Financial Services
5,Credit Suisse,Consumer & Retail
2,Google Ventures,Enterprise Tech
5,Suning.com,Consumer & Retail
2,Altana,Enterprise Tech
2,GGV Capital,Enterprise Tech
0,Shinsei Bank,Financial Services
2,Multiple Investors,Enterprise Tech
2,Lead Edge Capital,Enterprise Tech
2,Multiple Investors,Enterprise Tech
0,Multiple Investors,Consumer & Retail
2,Westbridge Capital,Enterprise Tech
1,Jinhua Zhongche Fund,Industrials
2,Chongqing Industry Investment Fund,Enterprise Tech
0,Molten Ventures,Financial Services
0,Ontario Teachers' Pension Plan,Financial Services
0,Group1001,Financial Services
5,Chrys Capital,Consumer & Retail
0,Legacy Knight,Financial Services
0,Multiple Investors,Healthcare & Life Sciences
0,Vanke,Financial Services
4,HOPU Investment Management Company,Media & Entertainment
5,Amansa Capital,Consumer & Retail
0,Multiple Investors,Media & Entertainment
0,Multiple Investors,Consumer & Retail
3,China Investment Corporation,Healthcare & Life Sciences
0,Multiple Investors,Media & Entertainment
0,Multiple Investors,Media & Entertainment
0,MUFG Bank,Financial Services
5,Kohlberg Kravis Roberts,Consumer & Retail
0,Multiple Investors,Financial Services
1,SOFTBANK Latin America Ventures,Industrials
1,Multiple Investors,Industrials
0,Baillie Gifford,Financial Services
1,CapSur Capital,Industrials
2,T. Rowe Price,Enterprise Tech
1,ECARX,Industrials
3,SoftBank Vision Fund,Media & Entertainment
2,ICONIQ Growth,Enterprise Tech
0,Marshall Wace,Financial Services
0,Heartland,Financial Services
4,ZhenFund,Media & Entertainment
2,PSG Equity,Enterprise Tech
5,Overseas Chinese Town Holdings,Consumer & Retail
0,Multiple Investors,Financial Services
3,Dragoneer Investment Group,Healthcare & Life Sciences
1,Prime Movers Lab,Industrials
0,SoftBank Vision Fund,Financial Services
0,Multiple Investors,Consumer & Retail
5,Guizhou Innovation Empowerment Big Data Investment Fund,Consumer & Retail
0,Multiple Investors,Media & Entertainment
2,NTT DoCoMo,Enterprise Tech
4,DST Global,Media & Entertainment
5,Shilpa Shetty,Consumer & Retail
0,EQT,Financial Services
3,Redmile Group,Healthcare & Life Sciences
5,ByteDance,Consumer & Retail
5,Dragoneer Investment Group,Consumer & Retail
0,EQT,Insurance
2,SoftBank,Enterprise Tech
2,Multiple Investors,Enterprise Tech
5,Anchor Equity Partners,Consumer & Retail
0,Multiple Investors,Consumer & Retail
0,Multiple Investors,Insurance
5,New Enterprise Associates,Consumer & Retail
4,Fidelity Management and Research Company,Media & Entertainment
3,Sixth Street,Healthcare & Life Sciences
0,Left Lane Capital,Financial Services
1,Brookfield Growth,Industrials
2,Founders Fund,Enterprise Tech
2,Databricks Ventures,Enterprise Tech
