Cluster,Lead Investors Include,Continent
2,Alpha Wave Global,North America
4,Multiple Investors,North America
3,Coatue,North America
3,Baker Hughes,North America
3,Robert Downey Jr.,North America
4,Multiple Investors,North America
4,Multiple Investors,North America
4,Multiple Investors,North America
1,SoftBank Corp.,Europe
4,Multiple Investors,North America
3,Ares Management,North America
0,Multiple Investors,Asia
3,WestCap,North America
3,TCV,North America
3,Wellington Management,North America
3,Crypto.com Capital,North America
4,Multiple Investors,North America
3,Accel,North America
0,Multiple Investors,Asia
0,Multiple Investors,Asia
1,Sprints,Europe
1,Motive Partners,Europe
0,Multiple Investors,Asia
0,SDIC Fund Management,Asia
1,Teachers Venture Growth,Europe
0,Multiple Investors,Asia
0,Chengtong Mixed Reform,Asia
0,Multiple Investors,Asia
4,Multiple Investors,North America
0,Mingde Holdings,Asia
1,Ardian,Europe
4,Multiple Investors,North America
0,Glade Brook Capital Partners,South America
3,Treasury,North America
4,Multiple Investors,North America
3,Evolution Equity Partners,North America
3,Goldman Sachs,North America
1,Canada Pension Plan Investment Board,Europe
0,Tiger Global Management,Asia
0,Multiple Investors,Asia
3,ServiceNow,North America
4,Multiple Investors,North America
3,Left Lane Capital,North America
1,Multiple Investors,Europe
4,Multiple Investors,North America
0,Bain Capital Tech Opportunities,Asia
0,Serum Life Sciences,Asia
3,Intel Capital,North America
4,Multiple Investors,North America
0,Multiple Investors,Asia
1,Korelya Capital,Europe
4,Multiple Investors,North America
0,Crimson Ventures,Asia
1,Valar Ventures,Europe
3,Moody's Investors Service,North America
4,Multiple Investors,North America
1,IFC,Europe
3,Dongfeng Asset Management,North America
0,Multiple Investors,Asia
1,Kingsway Capital,Europe
4,Multiple Investors,North America
3,Kingsway Capital,North America
3,Goldman Sachs Asset Management,North America
3,Georgian,North America
0,Zhongping Capital,Asia
3,Liberty Strategic Capital,North America
0,Qualcomm Ventures,Asia
3,Valour,North America
4,Multiple Investors,North America
1,Multiple Investors,Europe
0,LeapFrog Investments,Asia
3,Momentum Ventures,North America
0,Multiple Investors,Asia
3,NEC Corporation,North America
3,Fidelity Management and Research Company,North America
3,New Enterprise Associates,North America
3,Weatherford Capital,North America
1,TSG Consumer Partners,Europe
0,Multiple Investors,South America
0,Insight Partners,Asia
1,Bond,Europe
3,Citi,North America
1,Pollen Street Capital,Europe
0,Multiple Investors,Asia
0,Qatar Investment Authority,Asia
0,Multiple Investors,Asia
0,Marubeni,Asia
3,Third Point Ventures,North America
0,JP Morgan Chase,South America
1,Mutua Madrileña,Europe
3,Coatue,North America
3,Hamilton Lane,North America
0,Multiple Investors,Asia
3,OpenView,North America
3,Lightspeed Venture Partners,North America
0,SDIC Venture Capital,Asia
3,SoftBank Vision Fund,North America
3,Headline,North America
4,Multiple Investors,North America
0,Guangzhou Industrial Investment Group,Asia
0,T. Rowe Price,Oceania
0,Suzhou Xiangcheng Financial Holding Group,Asia
4,Multiple Investors,North America
3,Durable Capital Partners,North America
4,Multiple Investors,North America
4,Multiple Investors,North America
3,CVS Health Ventures,North America
0,LeapFrog Investments,Asia
3,Oak HC/FT,North America
0,Multiple Investors,South America
3,Goldman Sachs,North America
3,Sixth Street,North America
0,GoTo Group,Asia
0,ZA Tech,Asia
2,Alpha Wave Global,Asia
0,Multiple Investors,Asia
3,Bain Capital,North America
3,Legacy Knight,North America
3,Silver Lake,North America
0,Lightspeed Venture Partners,Asia
3,Memorial Hermann Foundation,North America
1,OKX Ventures,Europe
1,Qatar Investment Authority,Europe
3,SoftBank Vision Fund,North America
3,Alpha Wave Ventures,North America
4,Multiple Investors,North America
3,GIC,North America
3,Andreessen Horowitz,North America
4,Multiple Investors,North America
1,Tiger Global Management,Europe
3,Durable Capital Partners,North America
0,Multiple Investors,Asia
0,ZHEFU Holding,Asia
0,Tiger Global Management,Asia
3,CapitalG,North America
3,Sequoia Capital Global Equities,North America
0,Everbright-IDG Industrial Fund,Asia
0,Orient Securities Capital Investment,Asia
0,Multiple Investors,Asia
0,Oceanpine Capital,Asia
3,Alameda Research,North America
1,G Squared,Europe
1,Cristiano Ronaldo,Europe
4,Multiple Investors,North America
0,DST Global,Asia
3,Coinbase,North America
3,Greenspring Associates,North America
3,SC.Holdings,North America
3,SoftBank,North America
3,GGV Capital,North America
3,Blackstone Group,North America
3,SoftBank Vision Fund,North America
4,Multiple Investors,North America
3,Tencent,North America
0,Multiple Investors,Asia
3,Prysm Capital,North America
4,Multiple Investors,North America
3,Eldridge,North America
3,Thrive Capital,North America
4,Multiple Investors,North America
1,Multiple Investors,Europe
4,Multiple Investors,North America
4,Multiple Investors,North America
3,Sequoia Capital,North America
3,Goldman Sachs Asset Management,North America
4,Multiple Investors,North America
3,Saudi Arabia's Public Investment Fund,North America
0,Coatue,South America
0,Multiple Investors,Asia
3,Andreessen Horowitz,North America
0,Multiple Investors,Asia
1,Multiple Investors,Europe
4,Multiple Investors,North America
3,Greenoaks,North America
3,Ontario Teachers' Pension Plan,North America
0,Multiple Investors,Asia
1,TCV,Europe
3,Inovia Capital,North America
4,Multiple Investors,North America
0,Multiple Investors,Asia
4,Multiple Investors,North America
0,Multiple Investors,Asia
3,Accel,North America
3,Health Care Service Corporation,North America
1,Multiple Investors,Europe
4,Multiple Investors,North America
3,US Innovative Technology Fund,North America
3,SoftBank Vision Fund,North America
1,Accel,Europe
3,Tiger Global Management,North America
4,Multiple Investors,North America
1,JPMorgan Partners,Europe
3,Sixth Street,North America
3,ParaFi Capital,North America
1,Multiple Investors,Europe
1,Tiger Global Management,Europe
1,Sixth Street,Europe
3,Liberty Strategic Capital,North America
0,Baidu,Asia
3,Insight Partners,North America
1,Multiple Investors,Europe
3,Magnetar Capital,North America
0,China Development Bank,Asia
3,Wellington Management,North America
0,GIC,Asia
0,Andbank,South America
3,Tiger Global Management,North America
3,Tiger Global Management,North America
4,Multiple Investors,North America
3,General Motors,North America
3,G2 Venture Partners,North America
0,Multiple Investors,Oceania
3,Andreessen Horowitz,North America
4,Multiple Investors,North America
4,Multiple Investors,North America
3,Carrick Capital Partners,North America
0,Sinar Mas Group,Asia
3,Coatue,North America
0,State Bank of India,Asia
3,T. Rowe Price,North America
3,Wellington Management,North America
3,Fidelity,North America
4,Multiple Investors,North America
3,GS Growth,North America
3,Altimeter Capital,North America
0,Multiple Investors,Asia
3,Coatue,North America
1,IVP,Europe
0,Alibaba Group,Asia
4,Multiple Investors,North America
1,Multiple Investors,Europe
3,Kleiner Perkins,North America
1,Mérieux Equity Partners,Europe
3,Eurazeo,North America
4,Multiple Investors,North America
4,Multiple Investors,North America
1,Multiple Investors,Europe
3,ICONIQ Growth,North America
4,Multiple Investors,North America
0,Multiple Investors,Asia
0,Multiple Investors,Asia
0,Guangzhou Automobile Group,Asia
0,Peak XV Partners,Asia
3,OMERS Ventures,North America
3,Dragoneer Investment Group,North America
3,Optum Ventures,North America
3,Insight Partners,North America
3,Hexagon,North America
4,Multiple Investors,North America
0,Accel,Asia
0,Industrial Bank,Asia
0,Multiple Investors,South America
3,Bain Capital Ventures,North America
1,Multiple Investors,Europe
1,Eurazeo,Europe
3,Zeev Ventures,North America
0,Zeus Entertainment,Asia
3,WestCap,North America
4,Multiple Investors,North America
1,Index Ventures,Europe
0,Multiple Investors,Asia
3,Adams Street Partners,North America
0,D2 Investments,Asia
4,Multiple Investors,North America
0,57 Stars,Asia
3,Caisse de Depot et Placement du Quebec,North America
0,Multiple Investors,Asia
0,TPG,Asia
0,Affinity Partners,Asia
0,Multiple Investors,Asia
0,IMM Investment,Asia
1,Coatue,Europe
3,D1 Capital Partners,North America
0,Trustbridge Partners,Asia
0,Insight Partners,Asia
4,Multiple Investors,North America
0,Advent International,South America
3,Sequoia Capital China,North America
1,Multiple Investors,Europe
0,G42 Expansion Fund,Asia
3,SoftBank Vision Fund,North America
0,Multiple Investors,Asia
3,Harmonic Growth Partners,North America
4,Multiple Investors,North America
3,Siemens Financial Services,North America
4,Multiple Investors,North America
0,H Capital Advance,Asia
3,Sixth Street,North America
0,TCV,Oceania
3,Lightspeed Venture Partners,North America
0,Multiple Investors,Asia
0,Multiple Investors,Asia
1,Multiple Investors,Europe
4,Multiple Investors,North America
3,Brookfield Growth,North America
4,Multiple Investors,North America
1,Multiple Investors,Europe
3,T. Rowe Price,North America
3,Nordic Capital,North America
3,BDT & MSD Partners,North America
0,Multiple Investors,Asia
4,Multiple Investors,North America
0,Multiple Investors,Asia
3,SoftBank Vision Fund,North America
0,Multiple Investors,Asia
0,Wanda E-Commerce,Asia
3,SoftBank Vision Fund,North America
0,China Minsheng Financial Holdings,Asia
0,Multiple Investors,Asia
3,TPG Growth,North America
3,Trish Costello,North America
3,New Enterprise Associates,North America
4,Multiple Investors,North America
3,Owl Rock Capital,North America
1,Goldman Sachs Asset Management,Europe
4,Multiple Investors,North America
3,SoftBank Vision Fund,North America
4,Multiple Investors,North America
3,SoftBank Vision Fund,North America
3,Milano Investment Partners SGR,North America
3,SoftBank Vision Fund,North America
3,Temasek Holdings,North America
0,Multiple Investors,South America
1,Atomico,Europe
3,Shopify,North America
4,Multiple Investors,North America
3,Clearlake Capital Group,North America
0,Multiple Investors,Asia
3,Fidelity Management and Research Company,North America
1,Conexo Ventures,Europe
0,DST Global,Asia
1,Multiple Investors,Europe
3,Hamilton Lane,North America
3,Goldman Sachs,North America
3,Thoma Bravo,North America
4,Multiple Investors,North America
4,Multiple Investors,North America
0,Alkeon Capital,Asia
3,AE Industrial Partners,North America
0,PremjiInvest,Asia
0,CCB International,Asia
0,Multiple Investors,Asia
3,Andreessen Horowitz,North America
3,Vista Equity Partners,North America
0,Buer Capital,Asia
3,Paradigm,North America
0,Multiple Investors,Asia
3,BlackRock,North America
3,Shopify,North America
1,DoorDash,Europe
1,Tencent,Europe
1,Canyon Partners,Europe
3,SoftBank Vision Fund,North America
3,Tiger Global Management,North America
3,Meritech Capital Partners,North America
3,Andreessen Horowitz,North America
3,B Capital,North America
3,WestCap,North America
1,Multiple Investors,Europe
4,Multiple Investors,North America
3,SoftBank Vision Fund,North America
3,Kora,North America
3,Tiger Global Management,North America
1,Disruptive,Europe
4,Multiple Investors,North America
3,Mitsui & Co,North America
0,MacRitchie Investments,Asia
3,TPG Capital Asia,North America
3,Roche,North America
3,Accomplice,North America
4,Multiple Investors,North America
0,Multiple Investors,Asia
0,Multiple Investors,Asia
3,Permira,North America
0,Gopher Asset Management,Asia
3,Healthcare of Ontario Pension Plan (HOOPP),North America
0,Guizhou Innovation Empowerment Big Data Investment Fund,Asia
4,Multiple Investors,North America
0,Mubadala,Asia
0,Multiple Investors,Asia
0,Multiple Investors,Asia
0,CCB International,Asia
0,Malabar Investment Advisors,Asia
3,Ribbit Capital,North America
0,Jintuo Capital,Asia
0,CPE,Asia
1,Insight Partners,Europe
3,ICONIQ Growth,North America
3,Draper Dragon,North America
3,Flagship Pioneering,North America
3,Silver Lake,North America
0,Temasek Holdings,Asia
4,Multiple Investors,North America
1,Multiple Investors,Europe
1,Pelham Capital,Europe
1,Blue Pool Capital,Europe
0,Reliance Jio,Asia
3,Sequoia Capital,North America
3,Insight Partners,North America
0,PremjiInvest,Asia
3,Lone Pine Capital,North America
0,Multiple Investors,Asia
0,Insight Partners,Oceania
3,Park West Asset Management,North America
1,Permira,Europe
0,Multiple Investors,Asia
3,Tiger Global Management,North America
0,Multiple Investors,Asia
3,Franklin Templeton Investments,North America
0,Multiple Investors,Asia
4,Multiple Investors,North America
3,Robert Iger,North America
1,Prosus & Naspers,Europe
1,SoftBank Vision Fund,Europe
0,Goldman Sachs,Asia
3,Vista Credit Partners,North America
0,Hanwha Asset Management,Asia
4,Multiple Investors,North America
3,GIC,North America
4,Multiple Investors,North America
1,Ontario Teachers' Pension Plan,Europe
3,Andreessen Horowitz,North America
4,Multiple Investors,North America
3,Earth Venture Capital,North America
1,Energy Impact Partners,Europe
0,ICONIQ Growth,Asia
3,301,North America
3,BlackRock Private Equity Partners,North America
0,SAIC Venture Capital,Asia
3,General Atlantic,North America
3,Wellington Management,North America
0,Multiple Investors,Asia
3,Tiger Global Management,North America
3,Friends & Family Capital,North America
4,Multiple Investors,North America
1,General Atlantic,Europe
1,Multiple Investors,Europe
3,Commonwealth Bank of Australia,North America
0,Multiple Investors,South America
0,SK Telecom,Asia
0,Capital Today,Asia
0,Warburg Pincus,Asia
0,Multiple Investors,Asia
4,Multiple Investors,North America
0,Bank of China Group Investment,Asia
3,Anthemis Group,North America
3,Norwest Venture Partners,North America
3,STORY3 Capital Partners,North America
0,Greenoaks,Asia
0,Multiple Investors,Asia
3,Atlassian Ventures,North America
3,Spark Capital,North America
3,Hildred Capital Partners,North America
3,Bain Capital Life Sciences,North America
3,Sam Altman,North America
4,Multiple Investors,North America
0,Multiple Investors,Asia
1,General Catalyst,Europe
4,Multiple Investors,North America
0,Multiple Investors,Asia
0,Multiple Investors,Asia
4,Multiple Investors,North America
4,Multiple Investors,North America
0,Jump Crypto,Asia
4,Multiple Investors,North America
0,Multiple Investors,Asia
3,Glynn Capital Management,North America
0,Multiple Investors,Asia
1,Ginko Ventures,Europe
3,Zeev Ventures,North America
3,Tiger Global Management,North America
3,Baillie Gifford,North America
1,Multiple Investors,Europe
3,Capital One Ventures,North America
0,Chery Automobile,Asia
3,Telescope Partners,North America
1,TCV,Europe
3,ICONIQ Growth,North America
0,Multiple Investors,Asia
0,Multiple Investors,Asia
0,ZJ Innopark (Zhangjiang Hi-Tech Park),Asia
0,Crescent Group (Crescent Point),Asia
0,Hongtai Fund,Asia
3,Salesforce Ventures,North America
0,China Oceanwide,Asia
0,Jinan Industrial Development Group,Asia
0,SDIC Venture Capital,Asia
0,China Minsheng Investment Group,Asia
3,BlackRock,North America
3,Emerging Technology Partners,North America
0,ByteDance,Asia
0,Multiple Investors,Asia
1,Insight Partners,Europe
3,Koch Disruptive Technologies,North America
3,Bank of America,North America
0,China Bridge Capital,Asia
3,Silicon Valley Bank,North America
3,TA Associates,North America
3,Tiger Global Management,North America
3,Viking Global Investors,North America
1,Apax Partners,Europe
3,L Catterton,North America
0,Multiple Investors,South America
3,Thoma Bravo,North America
3,Astera Institute,North America
3,Koch Disruptive Technologies,North America
3,Databricks Ventures,North America
0,Temasek Holdings,Oceania
3,Qatar Investment Authority,North America
3,Thoma Bravo,North America
3,Mirae Asset,North America
1,Multiple Investors,Europe
4,Multiple Investors,North America
3,The Carlyle Group,North America
4,Multiple Investors,North America
0,FMO,Asia
3,Base10 Partners,North America
3,Insight Partners,North America
1,Qatar Investment Authority,Europe
0,Multiple Investors,Asia
4,Multiple Investors,North America
1,One Equity Partners,Europe
0,Mars Growth Capital,Asia
3,Jump Crypto,North America
0,Lightbox,Asia
0,Multiple Investors,Asia
3,Mubadala Capital Ventures,North America
3,Hermitage Capital,North America
0,Qatar Investment Authority,Asia
0,NHS England,Asia
3,Hg,North America
0,Multiple Investors,Asia
3,Tribe Capital,North America
1,Swedbank Robur,Europe
3,Janus Henderson Investors,North America
3,Kleiner Perkins,North America
3,Broadway Angels,North America
0,Visa,Africa
4,Multiple Investors,North America
3,Spark Capital,North America
3,Silver Lake Waterman,North America
3,Schonfeld Strategic Advisors,North America
3,Advent International,North America
3,Franklin Templeton Investments,North America
3,Prysm Capital,North America
3,Blackstone Group,North America
3,Goldman Sachs,North America
3,Viking Global Investors,North America
3,Left Lane Capital,North America
1,Multiple Investors,Europe
3,IMM Investment,North America
0,Multiple Investors,Asia
0,Tencent,Asia
3,Insight Partners,North America
0,Multiple Investors,Asia
0,Mubadala,Asia
0,Gojek,Asia
3,Tencent,North America
3,SoftBank Vision Fund,North America
3,BMW i Ventures,North America
0,China Renaissance,Asia
0,Linkface,Asia
0,Sequoia Capital China,Asia
0,Multiple Investors,Asia
0,Multiple Investors,Asia
1,Multiple Investors,Europe
0,CSOT,Asia
0,G42,Asia
0,Multiple Investors,Asia
0,RRJ Capital,Asia
0,Multiple Investors,Oceania
3,Sapphire Ventures,North America
3,Tribe Capital,North America
0,Multiple Investors,Asia
0,Goldman Sachs,Asia
3,Altria,North America
0,Guangzhou Automobile Group,Asia
4,Multiple Investors,North America
3,Tiger Global Management,North America
0,Hy,Asia
0,Anchor Equity Partners,Asia
0,GS Retail,Asia
3,Serena Williams,North America
0,DST Global,Asia
1,TPG,Europe
3,General Catalyst,North America
0,SoftBank Vision Fund,Asia
3,Berkshire Partners,North America
3,Sixth Street,North America
3,QED Investors,North America
3,Morgan Health,North America
0,SoftBank Vision Fund,Asia
0,JD.com,Asia
3,Coty,North America
1,SoftBank Vision Fund,Europe
0,Aspex Management,Asia
0,Alibaba Group,Asia
3,T. Rowe Price,North America
3,Coatue,North America
4,Multiple Investors,North America
3,Tiger Global Management,North America
3,DSC Investment,North America
0,Tybourne Capital Management,Asia
0,Morgan Stanley Tactical Value,Asia
0,Multiple Investors,Asia
4,Multiple Investors,North America
0,Mizuho Bank,Asia
1,Multiple Investors,Europe
0,Tencent,Asia
0,Susquehanna International Group (SIG),Africa
0,Hillhouse Capital Group,Asia
0,CPE,Asia
0,CPE,Asia
0,Kaszek,South America
0,Credit Suisse,Asia
3,Google Ventures,North America
0,Multiple Investors,Asia
0,Suning.com,Asia
0,Altana,Asia
0,GGV Capital,Asia
0,Shinsei Bank,Oceania
4,Multiple Investors,North America
3,Lead Edge Capital,North America
4,Multiple Investors,North America
0,Multiple Investors,Asia
0,Westbridge Capital,Asia
0,Jinhua Zhongche Fund,Asia
0,Chongqing Industry Investment Fund,Asia
1,Molten Ventures,Europe
1,Ontario Teachers' Pension Plan,Europe
3,Group1001,North America
0,Chrys Capital,Asia
3,Legacy Knight,North America
4,Multiple Investors,North America
0,Vanke,Asia
0,HOPU Investment Management Company,Asia
0,Amansa Capital,Asia
0,Multiple Investors,Asia
0,Multiple Investors,Asia
3,D1 Capital Partners,North America
0,China Investment Corporation,Asia
0,Multiple Investors,Oceania
0,Multiple Investors,Asia
3,MUFG Bank,North America
0,Kohlberg Kravis Roberts,Asia
1,Multiple Investors,Europe
3,SOFTBANK Latin America Ventures,North America
4,Multiple Investors,North America
0,Baillie Gifford,South America
0,CapSur Capital,South America
3,T. Rowe Price,North America
0,ECARX,Asia
3,SoftBank Vision Fund,North America
3,ICONIQ Growth,North America
3,Marshall Wace,North America
1,Heartland,Europe
0,ZhenFund,Asia
3,PSG Equity,North America
0,Overseas Chinese Town Holdings,Asia
1,Multiple Investors,Europe
3,Dragoneer Investment Group,North America
3,Prime Movers Lab,North America
3,SoftBank Vision Fund,North America
0,Multiple Investors,South America
0,Guizhou Innovation Empowerment Big Data Investment Fund,Asia
4,Multiple Investors,North America
3,NTT DoCoMo,North America
0,Temasek Holdings,Asia
0,DST Global,Asia
0,Shilpa Shetty,Asia
1,EQT,Europe
3,Redmile Group,North America
0,ByteDance,Asia
1,Dragoneer Investment Group,Europe
1,EQT,Europe
3,SoftBank,North America
4,Multiple Investors,North America
0,Anchor Equity Partners,Asia
4,Multiple Investors,North America
1,Multiple Investors,Europe
3,New Enterprise Associates,North America
3,Fidelity Management and Research Company,North America
3,Sixth Street,North America
3,Left Lane Capital,North America
3,Brookfield Growth,North America
3,Founders Fund,North America
1,Databricks Ventures,Europe
0,Multiple Investors,Asia
3,General Catalyst,North America
3,Siris Capital Group,North America
4,Multiple Investors,North America
0,Sino Biopharmaceutical,Asia
1,Multiple Investors,Europe
0,Multiple Investors,Asia
0,Multiple Investors,Asia
0,Multiple Investors,Asia
0,Bank of China Group Investment,Asia
0,Multiple Investors,Asia
4,Multiple Investors,North America
2,Alpha Wave Global,Asia
4,Multiple Investors,North America
3,Coatue,North America
0,Warburg Pincus,Asia
1,Spark Capital,Europe
4,Multiple Investors,North America
0,Baidu,Asia
0,Multiple Investors,Asia
0,Multiple Investors,Asia
0,Sequoia Capital China,Asia
0,Multiple Investors,Asia
0,Multiple Investors,Asia
1,Concord Health Partners,Europe
3,SoftBank Vision Fund,North America
0,Multiple Investors,Asia
3,Intel Capital,North America
1,Silver Lake,Europe
3,ICONIQ Growth,North America
3,SoftBank Vision Fund,North America
3,Bain Capital Tech Opportunities,North America
0,Multiple Investors,Asia
0,Chimera Investment,Africa
4,Multiple Investors,North America
0,Abu Dhabi Investment Authority,Asia
0,Legatum,Asia
4,Multiple Investors,North America
0,Volkswagen Group,Asia
3,Founders Fund,North America
3,Altimeter Capital,North America
0,Caisse de Depot et Placement du Quebec,Asia
0,Multiple Investors,Asia
0,Tiger Global Management,Asia
0,Temasek Holdings,Asia
1,Blackstone Group,Europe
3,Tiger Global Management,North America
0,General Motors,Asia
0,Mizuho Bank,Asia
3,IVP,North America
1,Abu Dhabi Growth Fund,Europe
0,Multiple Investors,Asia
0,Insight Partners,Asia
4,Multiple Investors,North America
0,Multiple Investors,Asia
3,Advance Venture Partners,North America
4,Multiple Investors,North America
1,Multiple Investors,Europe
3,Silver Lake Waterman,North America
4,Multiple Investors,North America
0,Yao Capital,Asia
0,Prosus Ventures,South America
1,Multiple Investors,Europe
0,Mastercard,Africa
0,Mastercard,Asia
0,Binance Labs,Asia
1,Multiple Investors,Europe
4,Multiple Investors,North America
0,Kohlberg Kravis Roberts,Asia
3,Coatue,North America
3,TPG,North America
0,Multiple Investors,Asia
0,Multiple Investors,Asia
3,FTX Ventures,North America
3,Scytale Digital,North America
1,Multiple Investors,Europe
0,PAG,Asia
3,NantHealth,North America
3,SoftBank Vision Fund,North America
3,Greenoaks,North America
0,Krafton,Asia
4,Multiple Investors,North America
0,Propel VC,South America
3,Bessemer Venture Partners,North America
3,Morgan Stanley,North America
3,Founders Fund,North America
0,Multiple Investors,Asia
4,Multiple Investors,North America
0,Bain Capital,Asia
3,Francisco Partners,North America
4,Multiple Investors,North America
3,Buckley Ventures,North America
4,Multiple Investors,North America
4,Multiple Investors,North America
1,Permira,Europe
3,Goldman Sachs Asset Management,North America
0,Third Point Ventures,Asia
3,Coatue,North America
0,Multiple Investors,Asia
0,Alibaba Group,Asia
0,Moore Strategic Ventures,Asia
0,Multiple Investors,Asia
3,Great Hill Partners,North America
0,Google,Asia
4,Multiple Investors,North America
3,Silver Lake,North America
1,Warburg Pincus,Europe
1,Investment Management Corporation of Ontario,Europe
0,Princeville Capital,South America
4,Multiple Investors,North America
3,SOFTBANK Latin America Ventures,North America
1,General Atlantic,Europe
1,Saidler & Co.,Europe
3,Tiger Global Management,North America
0,Multiple Investors,South America
0,Multiple Investors,Asia
3,WestCap,North America
3,Beyond Net Zero,North America
1,SoftBank Vision Fund,Europe
1,Da Vinci Capital,Europe
1,Canada Pension Plan Investment Board,Europe
1,General Atlantic,Europe
0,Multiple Investors,Asia
3,Lightspeed Venture Partners,North America
3,Pobts,North America
0,Alibaba Group,Asia
3,TPG Rise Climate Fund,North America
0,Bond,Asia
0,Multiple Investors,Asia
0,Temasek Holdings,Asia
0,Wellington Management,South America
3,Fidelity Management and Research Company,North America
1,Multiple Investors,Europe
0,Multiple Investors,Asia
1,Liberty City Ventures,Europe
3,D1 Capital Partners,North America
3,Generation Investment Management,North America
3,SoftBank Vision Fund,Africa
0,IIFL Finance,Asia
3,Microsoft,North America
4,Multiple Investors,North America
3,SoftBank Vision Fund,North America
3,Georgian,North America
0,Multiple Investors,Asia
0,Volvo Group Venture Capital,Asia
4,Multiple Investors,North America
0,Ant Group,Asia
3,Lightspeed Venture Partners,North America
3,Temasek Holdings,North America
0,Multiple Investors,Asia
3,Accomplice,North America
3,Merck,North America
1,EQT,Europe
4,Multiple Investors,North America
1,Multiple Investors,Europe
4,Multiple Investors,North America
4,Multiple Investors,North America
3,Kohlberg Kravis Roberts,North America
0,Multiple Investors,Asia
1,Mitsubishi Corporation,Europe
3,Bristol Myers Squibb,North America
4,Multiple Investors,North America
0,Multiple Investors,Asia
0,Microsoft,Asia
3,Georgian,North America
3,SoftBank Vision Fund,North America
1,Kohlberg Kravis Roberts,Europe
3,TPG Rise Climate Fund,North America
4,Multiple Investors,North America
0,Cybernaut Venture Capital,Asia
3,SoftBank Vision Fund,North America
3,Coatue,North America
3,SoftBank Vision Fund,North America
4,Multiple Investors,North America
4,Multiple Investors,North America
4,Multiple Investors,North America
0,Sequoia Capital China,Asia
3,Eurazeo,North America
0,SoftBank Vision Fund,Asia
3,Tiger Global Management,North America
0,Multiple Investors,Asia
3,Knox Lane,North America
3,Index Ventures,North America
4,Multiple Investors,North America
3,SoftBank Vision Fund,North America
3,MercadoLibre,North America
1,General Atlantic,Europe
1,Lightspeed Venture Partners,Europe
3,NewView Capital,North America
0,eBay,Asia
3,B Capital,North America
0,K1 Investment Management,Asia
4,Multiple Investors,North America
3,SoftBank Vision Fund,North America
4,Multiple Investors,North America
3,Founders Fund,North America
1,Greenoaks,Europe
0,Multiple Investors,Oceania
3,Paradigm,North America
3,The Carlyle Group,North America
0,Vestin Wolf Capital Management,Asia
3,B Capital,North America
0,General Atlantic,Asia
0,Multiple Investors,Asia
