Company,Post Money Value,Total Equity Funding,Lead Investors Include,Country,Continent,Month,Year,Industry
Ajaib,1,246,DST Global,Indonesia,Asia,10,2021,Financial Services
Akulaku,2,638,Mitsubishi UFJ Financial Group,Indonesia,Asia,02,2022,Financial Services
Alan,3,558,Teachers’ Venture Growth,France,Europe,04,2021,Healthcare & Life Sciences
Alation,2,315,NTT DOCOMO Ventures,United States,North America,06,2021,Enterprise Tech
Alchemy,10,564,"Lightspeed Venture Partners, Silver Lake",United States,North America,10,2021,Enterprise Tech
Aledade,4,678,Lightspeed Venture Partners,United States,North America,01,2021,Healthcare & Life Sciences
Aleo,1,298,SoftBank Vision Fund,United States,North America,02,2022,Enterprise Tech
Aleph Holding,2,470,Snap,United States,North America,08,2021,Enterprise Tech
Algolia,2,334,Lone Pine Capital,United States,North America,07,2021,Enterprise Tech
Alibaba Bendi Shenghuo Fuwu Gongsi,30,4000,"Alibaba Group, SoftBank Vision Fund",China,Asia,09,2023,Enterprise Tech
Alibaba Music,3,0,"SoftBank Group,Primecap Mgmt,Goldman Sachs,Joseph Tsai, Jack Ma",China,Asia,01,2016,Media & Entertainment
Alisports,1,174,YF Capital,China,Asia,10,2015,Enterprise Tech
Alloy,2,208,"Avenir Growth Capital, Lightspeed Venture Partners",United States,North America,09,2021,Financial Services
Alphaeon,1,223,Sailing Capital,United States,North America,08,2016,Healthcare & Life Sciences
AlphaSense,3,740,Bond,United States,North America,06,2022,Enterprise Tech
Amagi Media Labs,1,322,General Atlantic,United States,North America,03,2022,Media & Entertainment
Amarenco,1,515,Arjun Infrastructure Partners,Ireland,Europe,03,2023,Industrials
Amber Group,3,628,Fenbushi Capital,Hong Kong,Asia,06,2021,Financial Services
Amount,1,283,WestCap,United States,North America,05,2021,Financial Services
Amperity,1,187,HighSage Ventures,United States,North America,07,2021,Enterprise Tech
Ample,1,276,Blackstone Group,United States,North America,11,2021,Industrials
Anchorage Digital,3,487,Kohlberg Kravis Roberts,United States,North America,12,2021,Financial Services
Andela,2,381,SoftBank Vision Fund,United States,North America,09,2021,Enterprise Tech
Anduril Industries,8,2000,Valor Equity Partners,United States,North America,09,2019,Industrials
AngelList,4,170,"Accomplice, Tiger Global Management",United States,North America,03,2022,Enterprise Tech
Anhui YOFC Advanced Semiconductor,1,525,"Lucion, GenBridge Capital, China National Building Material, Huaan Jiaye, Haitong M&A, CICC, Guangda Financial Holdings Innovation Equity Investment, Fund Management, Shanghai Yunxin Venture Capital, Zhongping Capital, Zhejiang State Enterprise Reform and Development Fund",China,Asia,09,2023,Industrials
Animoca Brands,6,786,NEOM,Hong Kong,Asia,04,2021,Enterprise Tech
Ankorstore,2,422,"Bond, Tiger Global Management",France,Europe,01,2022,Consumer & Retail
Ant Group,150,19000,"GIC, Temasek Holdings",China,Asia,01,2014,Financial Services
Anthropic,4,3000,Google,United States,North America,02,2023,Enterprise Tech
Anyscale,1,259,"Addition, Intel Capital",United States,North America,12,2021,Enterprise Tech
Apeel Sciences,2,640,Temasek Holdings,United States,North America,05,2020,Consumer & Retail
Apna,1,193,Tiger Global Management,India,Asia,09,2021,Enterprise Tech
Apollo,2,183,Insight Partners,United States,North America,08,2023,Enterprise Tech
Apollo.io,2,251,Bain Capital Ventures,United States,North America,09,2023,Consumer & Retail
AppDirect,2,431,Caisse de Depot et Placement du Quebec,United States,North America,10,2015,Enterprise Tech
Applied Intuition,4,352,"Addition, Coatue",United States,North America,10,2020,Industrials
ApplyBoard,3,491,Ontario Teachers' Pension Plan,Canada,North America,05,2020,Consumer & Retail
AppsFlyer,2,293,Salesforce Ventures,United States,North America,01,2020,Enterprise Tech
Aptean,4,50,Charlesbank Capital Partners,United States,North America,11,2022,Enterprise Tech
Aptos,4,350,Binance Labs,United States,North America,03,2022,Enterprise Tech
APUS Group,1,116,"Chengwei Capital, Qiming Venture Partners",China,Asia,01,2015,Consumer & Retail
Aqara,1,272,Shenzhen Capital Group,China,Asia,10,2021,Enterprise Tech
Aqua Security,1,265,Capital One Ventures,United States,North America,03,2021,Enterprise Tech
Arcadia,2,490,Magnetar Capital,United States,North America,05,2022,Enterprise Tech
Arctic Wolf,4,498,Owl Rock Capital,United States,North America,10,2020,Enterprise Tech
Armis Security,3,537,One Equity Partners,United States,North America,04,2020,Enterprise Tech
Arqiva,1,0,Canada Pension Plan Investment Board,United Kingdom,Europe,09,2016,Enterprise Tech
Arrail Dental Clinic,1,400,Temasek Holdings,China,Asia,03,2022,Healthcare & Life Sciences
Articulate,4,2000,General Atlantic,United States,North America,07,2021,Enterprise Tech
ASAPP,2,380,"Dragoneer Investment Group, Fidelity Management and Research Company",United States,North America,05,2021,Enterprise Tech
Ascend Elements,2,882,"Decarbonization Partners, Qatar Investment Authority",United States,North America,09,2023,Industrials
Ascend Group,2,150,Charoen Pokphand Group,Thailand,Asia,09,2021,Enterprise Tech
assembly,1,0,Advent International,United States,North America,09,2021,Consumer & Retail
Assent,1,534,Vista Equity Partners,Canada,North America,01,2022,Industrials
Astera Labs,3,206,Fidelity Management and Research Company,United States,North America,11,2022,Enterprise Tech
Astranis,1,503,Andreessen Horowitz,United States,North America,04,2021,Industrials
Astronergy,1,500,Yunhao Capital,China,Asia,02,2023,Industrials
At-Bay,1,296,ION Crossover Partners,United States,North America,07,2021,Insurance
Athelas,2,150,Tribe Capital,United States,North America,01,2022,Healthcare & Life Sciences
Athletic Greens,1,115,Alpha Wave Global,United States,North America,01,2022,Healthcare & Life Sciences
Atmosphere,1,194,"S3 Ventures, Sageview Capital",United States,North America,02,2023,Media & Entertainment
Attentive,7,863,Coatue,United States,North America,09,2020,Enterprise Tech
Augury,1,294,Baker Hughes,United States,North America,10,2021,Industrials
Aura,3,523,Robert Downey Jr.,United States,North America,06,2021,Consumer & Retail
Aurora Solar,4,523,"Coatue, Energize Capital",United States,North America,05,2021,Industrials
Automation Anywhere,7,849,"Arctic Ventures, Mindrock Capital",United States,North America,07,2018,Enterprise Tech
Automattic,3,859,"Alta Park Capital, BlackRock",United States,North America,05,2013,Media & Entertainment
AutoStore,8,0,SoftBank Corp.,Norway,Europe,01,2020,Industrials
Ava Labs,5,640,"Continue Capital, CMS Holdings, Dragonfly, Polychain, Republic Crypto, Collab+Currency, Three Arrows Capital, Lvna Capital, Fundamental Labs, Digital Asset Capital Management",United States,North America,02,2021,Enterprise Tech
Avant,2,654,Ares Management,United States,North America,12,2012,Financial Services
Avenue One,1,100,WestCap,United States,North America,05,2023,Financial Services
Aviatrix,2,341,TCV,United States,North America,09,2021,Enterprise Tech
Away,1,181,Wellington Management,United States,North America,05,2019,Consumer & Retail
Axelar Network,1,64,Crypto.com Capital,Canada,North America,02,2022,Enterprise Tech
Axiom Space,2,500,"Aljazira Capital, Boryung Pharmaceutical",United States,North America,02,2021,Industrials
Axonius,3,395,Accel,United States,North America,03,2021,Enterprise Tech
B&C Chemical,1,133,"China Development Bank Capital, Zhongping Capital",China,Asia,04,2023,Industrials
Babel Finance,2,120,"10T Holdings, Jeneration Capital",Hong Kong,Asia,05,2022,Financial Services
Back Market,6,1000,Sprints,France,Europe,05,2021,Consumer & Retail
Backbase,3,129,Motive Partners,The Netherlands,Europe,06,2022,Financial Services
Baichuan Intelligence,1,350,"Alibaba Group, Tencent",China,Asia,10,2023,Enterprise Tech
Banma Network Technologies,1,697,SDIC Fund Management,China,Asia,09,2018,Industrials
Beamery,1,223,Teachers’ Venture Growth,United Kingdom,Europe,12,2022,Enterprise Tech
BeiBei,1,224,"New Horizon Capital, Northern Light Venture Capital",China,Asia,01,2015,Consumer & Retail
Beijing Weilan New Energy Technology,2,303,Chengtong Mixed Reform,China,Asia,11,2022,Industrials
Beisen,1,388,"Fidelity International, Goldman Sachs",China,Asia,05,2021,Enterprise Tech
Benchling,6,412,"Altimeter Capital, Franklin Templeton Investments",United States,North America,04,2021,Healthcare & Life Sciences
Benlai,1,349,Mingde Holdings,China,Asia,10,2019,Enterprise Tech
Berlin Brands Group,1,800,Ardian,Germany,Europe,09,2021,Consumer & Retail
Beta Technologies,2,886,"Fidelity Management and Research Company, TPG Rise Climate Fund",United States,North America,04,2022,Industrials
Betterfly,1,205,Glade Brook Capital Partners,Chile,South America,02,2022,Enterprise Tech
Betterment,1,335,Treasury,United States,North America,09,2021,Financial Services
BetterUp,5,570,"ICONIQ Growth, Lightspeed Venture Partners",United States,North America,02,2021,Enterprise Tech
Beyond Identity,1,205,Evolution Equity Partners,United States,North America,02,2022,Enterprise Tech
BFMeta,1,0,Goldman Sachs,United States,North America,06,2021,Insurance
BGL Group,2,696,Canada Pension Plan Investment Board,United Kingdom,Europe,11,2017,Financial Services
BharatPe,3,600,Tiger Global Management,India,Asia,07,2021,Financial Services
Bianlifeng,2,656,"Hillhouse Capital Group, Tencent",China,Asia,06,2019,Consumer & Retail
BigID,1,246,ServiceNow,United States,North America,12,2020,Enterprise Tech
BigPanda,1,337,"UBS, Wells Fargo Strategic Capital",United States,North America,01,2022,Enterprise Tech
Bilt Rewards,2,213,Left Lane Capital,United States,North America,10,2022,Financial Services
Binance,1,0.089,"Black Hole Capital, Funcity Capital",Malta,Europe,03,2018,Financial Services
Binance.US,5,200,"VanEck, Original Capital, Omar Darwazah, Northern Light Venture Capital, Standard Crypto, Gold House Ventures, Karman Ventures (fka Moving Capital), Gaingels, Tagus Capital, RRE Ventures",United States,North America,03,2018,Financial Services
BioCatch,1,214,Bain Capital Tech Opportunities,Israel,Asia,05,2021,Enterprise Tech
Biocon Biologics,6,632,Serum Life Sciences,India,Asia,04,2022,Healthcare & Life Sciences
Biofourmis,1,464,Intel Capital,United States,North America,08,2018,Healthcare & Life Sciences
Biosplice Therapeutics,12,778,"aMoon Fund, Eventide",United States,North America,08,2020,Healthcare & Life Sciences
Biren Technology,2,293,"C Ventures, Country Garden",China,Asia,11,2018,Enterprise Tech
Bitfury Group,1,170,Korelya Capital,The Netherlands,Europe,08,2023,Enterprise Tech
BitGo,2,172,"Galaxy Digital, GS Growth",United States,North America,07,2018,Financial Services
Bitmain,15,765,Crimson Ventures,China,Asia,03,2021,Enterprise Tech
Bitpanda,4,554,Valar Ventures,Austria,Europe,09,2021,Financial Services
BitSight,2,401,Moody's Investors Service,United States,North America,05,2021,Enterprise Tech
Bitso,2,315,"Coatue, Tiger Global Management",Mexico,North America,09,2015,Financial Services
BlaBlaCar,2,464,IFC,France,Europe,09,2021,Consumer & Retail
Black Sesame Technologies,2,115,Dongfeng Asset Management,United States,North America,07,2021,Industrials
Blackbuck,1,352,"IFC Asset Management Company, Tribe Capital",India,Asia,02,2021,Industrials
Blockchain.com,14,490,Kingsway Capital,United Kingdom,Europe,09,2021,Financial Services
Blockdaemon,3,431,"Sapphire Ventures, Tiger Global Management",United States,North America,08,2021,Financial Services
Blockstream,3,299,Kingsway Capital,Canada,North America,02,2022,Financial Services
Bloomreach,2,422,Goldman Sachs Asset Management,United States,North America,08,2021,Consumer & Retail
Bluecore,1,238,Georgian,United States,North America,02,2023,Consumer & Retail
Bluepha,1,303,Zhongping Capital,China,Asia,02,2022,Industrials
BlueVoyant,1,526,Liberty Strategic Capital,United States,North America,10,2022,Enterprise Tech
boAt,1,108,Qualcomm Ventures,India,Asia,04,2022,Consumer & Retail
Boba Network,2,45,Valour,United States,North America,10,2021,Enterprise Tech
Bolt,8,2000,"Fidelity Management and Research Company, Sequoia Capital",Estonia,Europe,05,2018,Industrials
Bolt,11,972,"General Atlantic, Westcap",United States,North America,07,2021,Financial Services
bolttech,2,493,LeapFrog Investments,Singapore,Asia,12,2020,Insurance
Boom Supersonic,1,147,Momentum Ventures,United States,North America,06,2019,Industrials
Bordrin Motors,1,362,"Sumitomo Corporation Equity Asia, Prosperity Investment, Huai'an Yuanxing Investment, Sinochem International",China,Asia,04,2022,Industrials
BostonGene,1,200,NEC Corporation,United States,North America,05,2021,Healthcare & Life Sciences
Bowery Farming,2,476,Fidelity Management and Research Company,United States,North America,09,2018,Industrials
Branch,4,667,New Enterprise Associates,United States,North America,03,2022,Enterprise Tech
Branch,1,230,Weatherford Capital,United States,North America,04,2017,Insurance
BrewDog,2,248,TSG Consumer Partners,United Kingdom,Europe,10,2018,Consumer & Retail
Brex,12,1000,"Greenoaks, TCV",Brazil,South America,06,2021,Enterprise Tech
Bringg,1,185,Insight Partners,Israel,Asia,06,2021,Enterprise Tech
BrowserStack,4,250,Bond,Ireland,Europe,09,2021,Enterprise Tech
Built Technologies,2,313,Citi,United States,North America,06,2021,Financial Services
BYD Semiconductor,1,378,"BAIC Capital, Country Garden, Xiaomi, CMB International Capital Corporation, Lenovo, SK Telecom, INVT Industrial Technology, Shenzhen V&T Technologies, Arm China, Semiconductor Manufacturing International",China,Asia,07,2017,Industrials
BYJU’S,22,5000,Qatar Investment Authority,India,Asia,04,2017,Consumer & Retail
ByteDance,220,8000,"Kohlberg Kravis Roberts Japan, Sequoia Capital",China,Asia,04,2018,Media & Entertainment
BYTON,3,1000,Marubeni,China,Asia,08,2019,Industrials
C2FO,1,538,Third Point Ventures,United States,North America,12,2020,Financial Services
C6 Bank,5,2000,JP Morgan Chase,Brazil,South America,01,2018,Financial Services
Cabify,1,472,Mutua Madrileña,Spain,Europe,12,2021,Industrials
Cadence Solutions,1,141,Coatue,United States,North America,01,2022,Healthcare & Life Sciences
CAIS,1,406,Hamilton Lane,United States,North America,08,2022,Financial Services
CALB,8,2000,"GAC Capital, China Insurance Investment Fund, Yangtze River Xiaomi Industry Fund, Sequoia Capital China, Jinyuan Group, Jintan Investment",China,Asia,01,2021,Enterprise Tech
Calendly,3,351,OpenView,United States,North America,02,2019,Enterprise Tech
Calm,2,218,Lightspeed Venture Partners,France,North America,09,2018,Healthcare & Life Sciences
Cambricon Technologies,3,200,SDIC Venture Capital,China,Asia,12,2018,Enterprise Tech
Cambridge Mobile Telematics,1,503,SoftBank Vision Fund,United States,North America,03,2021,Insurance
Cameo,1,166,Headline,United States,North America,08,2021,Media & Entertainment
Candy Digital,2,138,"ConsenSys Mesh, Galaxy Digital",United States,North America,01,2022,Financial Services
CanSemi,1,981,Guangzhou Industrial Investment Group,China,Asia,01,2018,Industrials
Canva,25,572,T. Rowe Price,Australia,Oceania,01,2018,Enterprise Tech
Caocao Chuxing,2,744,Suzhou Xiangcheng Financial Holding Group,China,Asia,03,2022,Industrials
Capitolis,2,282,"9Yards Capital, Canapi Ventures",United States,North America,04,2021,Financial Services
Capsule,1,570,Durable Capital Partners,United States,North America,01,2022,Healthcare & Life Sciences
CaptivateIQ,1,165,"Accel, ICONIQ Growth",United States,North America,08,2015,Enterprise Tech
Carbon,2,682,"Baillie Gifford, Madrone Capital Partners",United States,North America,07,2021,Industrials
Carbon Health,3,623,CVS Health Ventures,United States,North America,10,2021,Healthcare & Life Sciences
CarDekho,1,448,LeapFrog Investments,India,Asia,06,2022,Industrials
CareBridge,1,182,Oak HC/FT,United States,North America,10,2021,Healthcare & Life Sciences
CargoX,1,390,"SOFTBANK Latin America Ventures, Tencent",Brazil,South America,05,2022,Industrials
Caribou,1,189,Goldman Sachs,United States,North America,05,2021,Insurance
Caris Life Sciences,8,1000,Sixth Street,United States,North America,09,2021,Healthcare & Life Sciences
Carousell,1,375,GoTo Group,Singapore,Asia,06,2021,Consumer & Retail
Carro,1,595,ZA Tech,Singapore,Asia,11,2020,Industrials
CARS24,3,1000,Alpha Wave Global,India,Asia,07,2021,Industrials
Carsome,2,577,"65 Equity Partners, Qatar Investment Authority",Malaysia,Asia,07,2021,Industrials
Carson Group,1,0,Bain Capital,United States,North America,06,2023,Financial Services
Cart.com,1,443,Legacy Knight,United States,North America,05,2019,Consumer & Retail
Carta,7,1000,Silver Lake,United States,North America,11,2020,Financial Services
Cato Networks,3,770,Lightspeed Venture Partners,Israel,Asia,03,2021,Enterprise Tech
Cedar,3,394,Memorial Hermann Foundation,United States,North America,10,2022,Healthcare & Life Sciences
Celestia,1,57,OKX Ventures,Liechtenstein,Europe,06,2018,Enterprise Tech
Celonis,13,2000,Qatar Investment Authority,Germany,Europe,06,2021,Enterprise Tech
Cerebral,5,462,SoftBank Vision Fund,United States,North America,11,2018,Healthcare & Life Sciences
Cerebras Systems,4,715,Alpha Wave Ventures,United States,North America,03,2022,Enterprise Tech
CertiK,2,300,"SoftBank Vision Fund, Tiger Global Management",United States,North America,11,2020,Enterprise Tech
Chainalysis,9,537,GIC,United States,North America,03,2023,Financial Services
Character.ai,1,150,Andreessen Horowitz,California,North America,04,2021,Media & Entertainment
Chargebee,4,468,"Peak XV Partners, Tiger Global Management",United States,North America,05,2019,Financial Services
Checkout.com,40,2000,Tiger Global Management,United Kingdom,Europe,09,2019,Financial Services
Checkr,5,679,Durable Capital Partners,United States,North America,03,2016,Enterprise Tech
Chehaoduo,10,4000,"H Capital Advance, Sequoia Capital China",China,Asia,01,2020,Consumer & Retail
Chemao,1,199,ZHEFU Holding,China,Asia,02,2022,Consumer & Retail
CHEQ,1,182,Tiger Global Management,Israel,Asia,03,2022,Enterprise Tech
Chief,1,140,CapitalG,United States,North America,03,2019,Consumer & Retail
Chime,25,2000,Sequoia Capital Global Equities,United States,North America,07,2020,Financial Services
Chinac.com,1,379,Orient Securities Capital Investment,China,Asia,01,2023,Enterprise Tech
Chint Anneng Digital Energy,2,729,"RCFSI, Hangzhoushi Shiye Touzi Jituan Youxian Gongsi, China Southern Power Grid, National Green Development Fund, ICBC Investment, Three Gorges Green Industry (Shandong) Equity Investment LP, Zhejiang Silk Road Fund",China,Asia,12,2021,Industrials
Chipone Technology,5,1000,Oceanpine Capital,China,Asia,05,2021,Industrials
Chipper Cash,1,337,Alameda Research,United States,North America,04,2022,Financial Services
Choco,1,336,G Squared,Germany,Europe,08,2021,Consumer & Retail
Chrono24,1,206,Cristiano Ronaldo,Germany,Europe,10,2021,Consumer & Retail
Chronosphere,2,342,"Geodesic Capital, Google Ventures",United States,North America,09,2021,Enterprise Tech
Cider,1,140,DST Global,Hong Kong,Asia,05,2018,Consumer & Retail
Circle,8,1000,Coinbase,United States,North America,05,2021,Financial Services
CircleCI,2,315,Greenspring Associates,United States,North America,06,2022,Enterprise Tech
Cirkul,1,112,SC.Holdings,United States,North America,12,2020,Consumer & Retail
Cityblock Health,6,891,SoftBank,United States,North America,12,2021,Healthcare & Life Sciences
Clara,1,169,GGV Capital,Mexico,North America,03,2021,Financial Services
Clari,3,496,Blackstone Group,United States,North America,04,2022,Enterprise Tech
Clarify Health Solutions,1,328,SoftBank Vision Fund,United States,North America,06,2021,Healthcare & Life Sciences
Claroty,2,640,"Bessemer Venture Partners, Rockwell Automation",United States,North America,07,2022,Enterprise Tech
ClassDojo,1,191,Tencent,United States,North America,04,2021,Consumer & Retail
CLEAN PLANET,1,9,"Miura Co.,Ltd.",Japan,Asia,04,2022,Industrials
Clear Street,2,470,Prysm Capital,United States,North America,04,2021,Financial Services
Clearco,2,493,"Founders Circle Capital, Inovia Capital",Canada,North America,11,2020,Financial Services
Clearcover,1,305,Eldridge,United States,North America,10,2021,Financial Services
ClickHouse,2,300,Thrive Capital,United States,North America,12,2020,Enterprise Tech
ClickUp,4,535,"Andreessen Horowitz, Tiger Global Management",United States,North America,05,2021,Enterprise Tech
Climeworks,1,784,"GIC, Partners Group",Switzerland,Europe,04,2021,Industrials
Clio,2,386,"OMERS Growth Equity, T. Rowe Price",Canada,North America,06,2021,Enterprise Tech
Clip,2,381,"SOFTBANK Latin America Ventures, Viking Global Investors",Mexico,North America,02,2022,Financial Services
Clipboard Health,1,94,Sequoia Capital,United States,North America,12,2021,Healthcare & Life Sciences
CloudBees,1,236,Goldman Sachs Asset Management,United States,North America,02,2022,Enterprise Tech
Cloudinary,2,0,"King Street Capital Management,Microsoft,Saudi Arabia's Public Investment Fund,Craft Ventures,Barak Diskin",United States,North America,12,2019,Media & Entertainment
CloudKitchens,15,1000,Saudi Arabia's Public Investment Fund,United States,North America,09,2021,Enterprise Tech
CloudWalk,2,345,Coatue,Brazil,South America,07,2022,Financial Services
CloudWalk Technology,5,514,"Oriza Holdings, Puhua Capital",China,Asia,01,2021,Enterprise Tech
Clubhouse,4,110,Andreessen Horowitz,United States,North America,07,2019,Media & Entertainment
CMC,6,2000,"Alibaba Group, Tencent",China,Asia,09,2019,Industrials
CMR Surgical,3,1000,"Ally Bridge Group, SoftBank Vision Fund",United Kingdom,Europe,03,2021,Healthcare & Life Sciences
Coalition,5,755,"Allianz X, Kinetic Partners",United States,North America,01,2021,Insurance
Cockroach Labs,5,633,Greenoaks,United States,North America,07,2021,Enterprise Tech
Coda,1,240,Ontario Teachers' Pension Plan,United States,North America,04,2022,Enterprise Tech
Coda Payments,2,715,"GIC, Insight Partners",Singapore,Asia,05,2021,Financial Services
Cognite,2,225,TCV,Norway,Europe,05,2023,Industrials
Cohere,2,435,Inovia Capital,Canada,North America,06,2018,Enterprise Tech
Cohesity,4,660,"DFJ Growth, Foundation Capital",United States,North America,08,2021,Enterprise Tech
CoinDCX,2,247,"Pantera Capital, Steadview Capital",India,Asia,10,2021,Financial Services
CoinList,2,119,"Accomplice, Agman Partners",United States,North America,10,2021,Financial Services
CoinSwitch,2,301,"Andreessen Horowitz, Coinbase Ventures",India,Asia,01,2022,Financial Services
CoinTracker,1,102,Accel,United States,North America,06,2019,Financial Services
Collective Health,2,719,Health Care Service Corporation,United States,North America,01,2019,Healthcare & Life Sciences
Collibra,5,596,"Sequoia Capital Global Equities, Sofina",Belgium,Europe,01,2021,Enterprise Tech
Color,5,482,"Kindred Ventures, T. Rowe Price",United States,North America,01,2023,Healthcare & Life Sciences
Colossal Biosciences,1,225,US Innovative Technology Fund,United States,North America,03,2022,Healthcare & Life Sciences
CommerceIQ,1,196,SoftBank Vision Fund,United States,North America,05,2020,Consumer & Retail
commercetools,2,308,Accel,Germany,Europe,06,2019,Enterprise Tech
Commonwealth Fusion,1,2000,Tiger Global Management,United States,North America,09,2021,Industrials
Como,1,110,JPMorgan Partners,United Kingdom,Europe,03,2022,Enterprise Tech
ConcertAI,2,300,Sixth Street,United States,North America,11,2021,Healthcare & Life Sciences
ConsenSys,7,660,ParaFi Capital,United States,North America,10,2021,Enterprise Tech
Constellation Automotive Group,7,1000,"Neuberger Berman, GIC, Soros Fund Management, Abu Dhabi Investment Authority",United Kingdom,Europe,07,2021,Consumer & Retail
Contentful,3,333,Tiger Global Management,Germany,Europe,05,2021,Enterprise Tech
Contentsquare,6,1000,Sixth Street,France,Europe,11,2021,Enterprise Tech
Contrast Security,1,269,Liberty Strategic Capital,United States,North America,03,2018,Enterprise Tech
Coocaa,1,218,Baidu,China,Asia,09,2021,Media & Entertainment
Copado,1,271,Insight Partners,United States,North America,08,2022,Enterprise Tech
Copper,2,266,"Barclays Ventures, Tiger Global Management",United Kingdom,Europe,04,2023,Enterprise Tech
CoreWeave,2,427,Magnetar Capital,United States,North America,09,2021,Enterprise Tech
COSMOplat,1,162,China Development Bank,China,Asia,02,2020,Enterprise Tech
Course Hero,4,477,Wellington Management,United States,North America,04,2021,Consumer & Retail
CRED,6,801,GIC,India,Asia,12,2020,Financial Services
Creditas,5,874,Andbank,Brazil,South America,03,2022,Financial Services
Cresta,2,151,Tiger Global Management,United States,North America,08,2021,Enterprise Tech
Cribl,3,402,Tiger Global Management,United States,North America,02,2022,Enterprise Tech
Cross River Bank,3,775,"Andreessen Horowitz, Eldridge",United States,North America,05,2018,Financial Services
Cruise,30,8000,General Motors,United States,North America,04,2022,Enterprise Tech
Crusoe Energy Systems,2,513,G2 Venture Partners,United States,North America,07,2021,Industrials
Culture Amp,2,257,"Sequoia Capital China, TDM Growth Partners",Australia,Oceania,11,2021,Enterprise Tech
cure.fit,1,615,Zomato,India,Asia,04,2021,Healthcare & Life Sciences
Current,2,402,Andreessen Horowitz,United States,North America,09,2015,Financial Services
D2iq,1,247,"Koch Disruptive Technologies, T. Rowe Price",United States,North America,11,2021,Enterprise Tech
Daily Harvest,1,120,"Lone Pine Capital, Suttona Capital",United States,North America,05,2021,Consumer & Retail
