Company,Post Money Value (Billions),Post Money Value (Millions),Total Equity Funding (Millions),Lead Investors Include,Country,Continent,Month,Year,Industry
Algolia,2,2000,334,Lone Pine Capital,United States,North America,7,2021,Enterprise Tech
Alibaba Music,3,3000,0,Multiple Investors,China,Asia,1,2016,Media & Entertainment
Alisports,1,1000,174,YF Capital,China,Asia,10,2015,Enterprise Tech
Alloy,2,2000,208,Multiple Investors,United States,North America,9,2021,Financial Services
Alphaeon,1,1000,223,Sailing Capital,United States,North America,8,2016,Healthcare & Life Sciences
AlphaSense,3,3000,740,Bond,United States,North America,6,2022,Enterprise Tech
Amagi Media Labs,1,1000,322,General Atlantic,United States,North America,3,2022,Media & Entertainment
Amarenco,1,1000,515,Arjun Infrastructure Partners,Ireland,Europe,4,2020,Industrials
Amber Group,3,3000,628,Fenbushi Capital,Hong Kong,Asia,6,2021,Financial Services
Amount,1,1000,283,WestCap,United States,North America,5,2021,Financial Services
Amperity,1,1000,187,HighSage Ventures,United States,North America,7,2021,Enterprise Tech
Ample,1,1000,276,Blackstone Group,United States,North America,11,2021,Industrials
Anchorage Digital,3,3000,487,Kohlberg Kravis Roberts,United States,North America,12,2021,Financial Services
Andela,2,2000,381,SoftBank Vision Fund,United States,North America,9,2021,Enterprise Tech
Anduril Industries,8,8000,2000,Valor Equity Partners,United States,North America,9,2019,Industrials
AngelList,4,4000,170,Multiple Investors,United States,North America,3,2022,Enterprise Tech
Anhui YOFC Advanced Semiconductor,1,1000,525,Multiple Investors,China,Asia,12,2023,Industrials
Animoca Brands,6,6000,786,NEOM,Hong Kong,Asia,4,2021,Enterprise Tech
Ankorstore,2,2000,422,Multiple Investors,France,Europe,1,2022,Consumer & Retail
Anthropic,4,4000,3000,Google,United States,North America,2,2023,Enterprise Tech
Anyscale,1,1000,259,Multiple Investors,United States,North America,12,2021,Enterprise Tech
Apeel Sciences,2,2000,640,Temasek Holdings,United States,North America,5,2020,Consumer & Retail
Apna,1,1000,193,Tiger Global Management,India,Asia,9,2021,Enterprise Tech
Apollo,2,2000,183,Insight Partners,United States,North America,8,2023,Enterprise Tech
Apollo.io,2,2000,251,Bain Capital Ventures,United States,North America,3,2022,Consumer & Retail
AppDirect,2,2000,431,Caisse de Depot et Placement du Quebec,United States,North America,10,2015,Enterprise Tech
Applied Intuition,4,4000,352,Multiple Investors,United States,North America,10,2020,Industrials
ApplyBoard,3,3000,491,Ontario Teachers' Pension Plan,Canada,North America,5,2020,Consumer & Retail
AppsFlyer,2,2000,293,Salesforce Ventures,United States,North America,1,2020,Enterprise Tech
Aptean,4,4000,50,Charlesbank Capital Partners,United States,North America,10,2022,Enterprise Tech
Aptos,4,4000,350,Binance Labs,United States,North America,3,2022,Enterprise Tech
APUS Group,1,1000,116,Multiple Investors,China,Asia,1,2015,Consumer & Retail
Aqara,1,1000,272,Shenzhen Capital Group,China,Asia,5,2022,Enterprise Tech
Aqua Security,1,1000,265,Capital One Ventures,United States,North America,3,2021,Enterprise Tech
Arcadia,2,2000,490,Magnetar Capital,United States,North America,5,2022,Enterprise Tech
Arctic Wolf,4,4000,498,Owl Rock Capital,United States,North America,10,2020,Enterprise Tech
Armis Security,3,3000,537,One Equity Partners,United States,North America,4,2020,Enterprise Tech
Arqiva,1,1000,0,Canada Pension Plan Investment Board,United Kingdom,Europe,6,2023,Enterprise Tech
Arrail Dental Clinic,1,1000,400,Temasek Holdings,China,Asia,4,2021,Healthcare & Life Sciences
Articulate,4,4000,2000,General Atlantic,United States,North America,7,2021,Enterprise Tech
ASAPP,2,2000,380,Multiple Investors,United States,North America,5,2021,Enterprise Tech
Ascend Elements,2,2000,882,Multiple Investors,United States,North America,9,2023,Industrials
Ascend Group,2,2000,150,Charoen Pokphand Group,Thailand,Asia,9,2021,Enterprise Tech
assembly,1,1000,0,Advent International,United States,North America,9,2021,Consumer & Retail
Assent,1,1000,534,Vista Equity Partners,Canada,North America,1,2022,Industrials
Astera Labs,3,3000,206,Fidelity Management and Research Company,United States,North America,11,2022,Enterprise Tech
Astranis,1,1000,503,Andreessen Horowitz,United States,North America,4,2021,Industrials
Astronergy,1,1000,500,Yunhao Capital,China,Asia,1,2023,Industrials
At-Bay,1,1000,296,ION Crossover Partners,United States,North America,7,2021,Insurance
Athletic Greens,1,1000,115,Alpha Wave Global,United States,North America,1,2022,Healthcare & Life Sciences
Atmosphere,1,1000,194,Multiple Investors,United States,North America,2,2023,Media & Entertainment
Attentive,7,7000,863,Coatue,United States,North America,9,2020,Enterprise Tech
Augury,1,1000,294,Baker Hughes,United States,North America,10,2021,Industrials
Aura,3,3000,523,Robert Downey Jr.,United States,North America,6,2021,Consumer & Retail
Aurora Solar,4,4000,523,Multiple Investors,United States,North America,5,2021,Industrials
Automation Anywhere,7,7000,849,Multiple Investors,United States,North America,7,2018,Enterprise Tech
Automattic,3,3000,859,Multiple Investors,United States,North America,5,2013,Media & Entertainment
AutoStore,8,8000,0,SoftBank Corp.,Norway,Europe,1,2020,Industrials
Ava Labs,5,5000,640,Multiple Investors,United States,North America,2,2021,Enterprise Tech
Avant,2,2000,654,Ares Management,United States,North America,12,2012,Financial Services
Avatr,3,3000,791,Multiple Investors,China,Asia,8,2023,Healthcare & Life Sciences
Avenue One,1,1000,100,WestCap,United States,North America,5,2023,Financial Services
Aviatrix,2,2000,341,TCV,United States,North America,9,2021,Enterprise Tech
Away,1,1000,181,Wellington Management,United States,North America,5,2019,Consumer & Retail
Axelar Network,1,1000,64,Crypto.com Capital,Canada,North America,2,2022,Enterprise Tech
Axiom Space,2,2000,500,Multiple Investors,United States,North America,2,2021,Industrials
Axonius,3,3000,395,Accel,United States,North America,3,2021,Enterprise Tech
B&C Chemical,1,1000,133,Multiple Investors,China,Asia,4,2023,Industrials
Babel Finance,2,2000,120,Multiple Investors,Hong Kong,Asia,5,2022,Financial Services
Back Market,6,6000,1000,Sprints,France,Europe,5,2021,Consumer & Retail
Backbase,3,3000,129,Motive Partners,The Netherlands,Europe,6,2022,Financial Services
Baichuan Intelligence,1,1000,350,Multiple Investors,China,Asia,10,2023,Enterprise Tech
Banma Network Technologies,1,1000,697,SDIC Fund Management,China,Asia,9,2018,Industrials
Beamery,1,1000,223,Teachers’ Venture Growth,United Kingdom,Europe,12,2022,Enterprise Tech
BeiBei,1,1000,224,Multiple Investors,China,Asia,1,2015,Consumer & Retail
Beijing Weilan New Energy Technology,2,2000,303,Chengtong Mixed Reform,China,Asia,10,2021,Industrials
Beisen,1,1000,388,Multiple Investors,China,Asia,5,2021,Enterprise Tech
Benchling,6,6000,412,Multiple Investors,United States,North America,4,2021,Healthcare & Life Sciences
Benlai,1,1000,349,Mingde Holdings,China,Asia,10,2019,Enterprise Tech
Berlin Brands Group,1,1000,800,Ardian,Germany,Europe,9,2021,Consumer & Retail
Beta Technologies,2,2000,886,Multiple Investors,United States,North America,4,2022,Industrials
Betterfly,1,1000,205,Glade Brook Capital Partners,Chile,South America,2,2022,Enterprise Tech
Betterment,1,1000,335,Treasury,United States,North America,9,2021,Financial Services
BetterUp,5,5000,570,Multiple Investors,United States,North America,2,2021,Enterprise Tech
Beyond Identity,1,1000,205,Evolution Equity Partners,United States,North America,2,2022,Enterprise Tech
BFMeta,1,1000,0,Goldman Sachs,United States,North America,6,2021,Insurance
BGL Group,2,2000,696,Canada Pension Plan Investment Board,United Kingdom,Europe,11,2017,Financial Services
BharatPe,3,3000,600,Tiger Global Management,India,Asia,7,2021,Financial Services
Bianlifeng,2,2000,656,Multiple Investors,China,Asia,6,2019,Consumer & Retail
BigID,1,1000,246,ServiceNow,United States,North America,12,2020,Enterprise Tech
BigPanda,1,1000,337,Multiple Investors,United States,North America,1,2022,Enterprise Tech
Bilt Rewards,2,2000,213,Left Lane Capital,United States,North America,10,2022,Financial Services
Binance,1,1000,0.089,Multiple Investors,Malta,Europe,3,2018,Financial Services
Binance.US,5,5000,200,Multiple Investors,United States,North America,3,2018,Financial Services
BioCatch,1,1000,214,Bain Capital Tech Opportunities,Israel,Asia,11,2023,Enterprise Tech
Biocon Biologics,6,6000,632,Serum Life Sciences,India,Asia,5,2021,Healthcare & Life Sciences
Biofourmis,1,1000,464,Intel Capital,United States,North America,4,2022,Healthcare & Life Sciences
Biren Technology,2,2000,293,Multiple Investors,China,Asia,8,2020,Enterprise Tech
Bitfury Group,1,1000,170,Korelya Capital,The Netherlands,Europe,11,2018,Enterprise Tech
BitGo,2,2000,172,Multiple Investors,United States,North America,8,2023,Financial Services
Bitpanda,4,4000,554,Valar Ventures,Austria,Europe,3,2021,Financial Services
BitSight,2,2000,401,Moody's Investors Service,United States,North America,9,2021,Enterprise Tech
Bitso,2,2000,315,Multiple Investors,Mexico,North America,5,2021,Financial Services
BlaBlaCar,2,2000,464,IFC,France,Europe,9,2015,Consumer & Retail
Black Sesame Technologies,2,2000,115,Dongfeng Asset Management,United States,North America,9,2021,Industrials
Blackbuck,1,1000,352,Multiple Investors,India,Asia,7,2021,Industrials
Blockdaemon,3,3000,431,Multiple Investors,United States,North America,9,2021,Financial Services
Blockstream,3,3000,299,Kingsway Capital,Canada,North America,8,2021,Financial Services
Bloomreach,2,2000,422,Goldman Sachs Asset Management,United States,North America,2,2022,Consumer & Retail
Bluecore,1,1000,238,Georgian,United States,North America,8,2021,Consumer & Retail
Bluepha,1,1000,303,Zhongping Capital,China,Asia,2,2023,Industrials
BlueVoyant,1,1000,526,Liberty Strategic Capital,United States,North America,2,2022,Enterprise Tech
boAt,1,1000,108,Qualcomm Ventures,India,Asia,10,2022,Consumer & Retail
Boba Network,2,2000,45,Valour,United States,North America,4,2022,Enterprise Tech
Bolt,8,8000,2000,Multiple Investors,Estonia,Europe,5,2018,Industrials
bolttech,2,2000,493,LeapFrog Investments,Singapore,Asia,7,2021,Insurance
Boom Supersonic,1,1000,147,Momentum Ventures,United States,North America,12,2020,Industrials
Bordrin Motors,1,1000,362,Multiple Investors,China,Asia,6,2019,Industrials
BostonGene,1,1000,200,NEC Corporation,United States,North America,4,2022,Healthcare & Life Sciences
Bowery Farming,2,2000,476,Fidelity Management and Research Company,United States,North America,5,2021,Industrials
Branch,4,4000,667,New Enterprise Associates,United States,North America,9,2018,Enterprise Tech
Branch,1,1000,230,Weatherford Capital,United States,North America,3,2022,Insurance
BrewDog,2,2000,248,TSG Consumer Partners,United Kingdom,Europe,4,2017,Consumer & Retail
Bringg,1,1000,185,Insight Partners,Israel,Asia,6,2021,Enterprise Tech
BrowserStack,4,4000,250,Bond,Ireland,Europe,6,2021,Enterprise Tech
Built Technologies,2,2000,313,Citi,United States,North America,9,2021,Financial Services
bunq,2,2000,391,Pollen Street Capital,The Netherlands,Europe,6,2021,Financial Services
BYD Semiconductor,1,1000,378,Multiple Investors,China,Asia,6,2020,Industrials
BYTON,3,3000,1000,Marubeni,China,Asia,4,2018,Industrials
C2FO,1,1000,538,Third Point Ventures,United States,North America,8,2019,Financial Services
C6 Bank,5,5000,2000,JP Morgan Chase,Brazil,South America,12,2020,Financial Services
Cabify,1,1000,472,Mutua Madrileña,Spain,Europe,1,2018,Industrials
Cadence Solutions,1,1000,141,Coatue,United States,North America,12,2021,Healthcare & Life Sciences
CAIS,1,1000,406,Hamilton Lane,United States,North America,1,2022,Financial Services
CALB,8,8000,2000,Multiple Investors,China,Asia,1,2022,Enterprise Tech
Calendly,3,3000,351,OpenView,United States,North America,1,2021,Enterprise Tech
Calm,2,2000,218,Lightspeed Venture Partners,France,North America,2,2019,Healthcare & Life Sciences
Cambricon Technologies,3,3000,200,SDIC Venture Capital,China,Asia,9,2018,Enterprise Tech
Cambridge Mobile Telematics,1,1000,503,SoftBank Vision Fund,United States,North America,12,2018,Insurance
Cameo,1,1000,166,Headline,United States,North America,3,2021,Media & Entertainment
Candy Digital,2,2000,138,Multiple Investors,United States,North America,8,2021,Financial Services
CanSemi,1,1000,981,Guangzhou Industrial Investment Group,China,Asia,11,2022,Industrials
Caocao Chuxing,2,2000,744,Suzhou Xiangcheng Financial Holding Group,China,Asia,1,2018,Industrials
Capitolis,2,2000,282,Multiple Investors,United States,North America,3,2022,Financial Services
Capsule,1,1000,570,Durable Capital Partners,United States,North America,4,2021,Healthcare & Life Sciences
CaptivateIQ,1,1000,165,Multiple Investors,United States,North America,1,2022,Enterprise Tech
Carbon,2,2000,682,Multiple Investors,United States,North America,8,2015,Industrials
Carbon Health,3,3000,623,CVS Health Ventures,United States,North America,7,2021,Healthcare & Life Sciences
CarDekho,1,1000,448,LeapFrog Investments,India,Asia,10,2021,Industrials
CareBridge,1,1000,182,Oak HC/FT,United States,North America,6,2022,Healthcare & Life Sciences
CargoX,1,1000,390,Multiple Investors,Brazil,South America,10,2021,Industrials
Caribou,1,1000,189,Goldman Sachs,United States,North America,5,2022,Insurance
Caris Life Sciences,8,8000,1000,Sixth Street,United States,North America,5,2021,Healthcare & Life Sciences
Carousell,1,1000,375,GoTo Group,Singapore,Asia,9,2021,Consumer & Retail
Carro,1,1000,595,ZA Tech,Singapore,Asia,6,2021,Industrials
CARS24,3,3000,1000,Alpha Wave Global,India,Asia,11,2020,Industrials
Carsome,2,2000,577,Multiple Investors,Malaysia,Asia,7,2021,Industrials
Carson Group,1,1000,0,Bain Capital,United States,North America,7,2021,Financial Services
Cart.com,1,1000,443,Legacy Knight,United States,North America,6,2023,Consumer & Retail
Carta,7,7000,1000,Silver Lake,United States,North America,5,2019,Financial Services
Cato Networks,3,3000,770,Lightspeed Venture Partners,Israel,Asia,11,2020,Enterprise Tech
Cedar,3,3000,394,Memorial Hermann Foundation,United States,North America,3,2021,Healthcare & Life Sciences
Celestia,1,1000,57,OKX Ventures,Liechtenstein,Europe,10,2022,Enterprise Tech
Cerebral,5,5000,462,SoftBank Vision Fund,United States,North America,6,2021,Healthcare & Life Sciences
Cerebras Systems,4,4000,715,Alpha Wave Ventures,United States,North America,11,2018,Enterprise Tech
CertiK,2,2000,300,Multiple Investors,United States,North America,3,2022,Enterprise Tech
Chainalysis,9,9000,537,GIC,United States,North America,11,2020,Financial Services
Character.ai,1,1000,150,Andreessen Horowitz,California,North America,3,2023,Media & Entertainment
Chargebee,4,4000,468,Multiple Investors,United States,North America,4,2021,Financial Services
Checkr,5,5000,679,Durable Capital Partners,United States,North America,9,2019,Enterprise Tech
Chemao,1,1000,199,ZHEFU Holding,China,Asia,9,2015,Consumer & Retail
CHEQ,1,1000,182,Tiger Global Management,Israel,Asia,2,2022,Enterprise Tech
Chief,1,1000,140,CapitalG,United States,North America,3,2022,Consumer & Retail
China UnionPay Merchant Services,3,3000,319,Everbright-IDG Industrial Fund,China,Asia,10,2016,Financial Services
Chinac.com,1,1000,379,Orient Securities Capital Investment,China,Asia,6,2018,Enterprise Tech
Chint Anneng Digital Energy,2,2000,729,Multiple Investors,China,Asia,12,2022,Industrials
Chipone Technology,5,5000,1000,Oceanpine Capital,China,Asia,12,2021,Industrials
Chipper Cash,1,1000,337,Alameda Research,United States,North America,5,2021,Financial Services
Choco,1,1000,336,G Squared,Germany,Europe,4,2022,Consumer & Retail
Chrono24,1,1000,206,Cristiano Ronaldo,Germany,Europe,8,2021,Consumer & Retail
Chronosphere,2,2000,342,Multiple Investors,United States,North America,10,2021,Enterprise Tech
Cider,1,1000,140,DST Global,Hong Kong,Asia,9,2021,Consumer & Retail
Circle,8,8000,1000,Coinbase,United States,North America,5,2018,Financial Services
CircleCI,2,2000,315,Greenspring Associates,United States,North America,5,2021,Enterprise Tech
Cirkul,1,1000,112,SC.Holdings,United States,North America,6,2022,Consumer & Retail
Cityblock Health,6,6000,891,SoftBank,United States,North America,12,2020,Healthcare & Life Sciences
Clara,1,1000,169,GGV Capital,Mexico,North America,12,2021,Financial Services
Clari,3,3000,496,Blackstone Group,United States,North America,3,2021,Enterprise Tech
Clarify Health Solutions,1,1000,328,SoftBank Vision Fund,United States,North America,4,2022,Healthcare & Life Sciences
Claroty,2,2000,640,Multiple Investors,United States,North America,6,2021,Enterprise Tech
ClassDojo,1,1000,191,Tencent,United States,North America,7,2022,Consumer & Retail
CLEAN PLANET,1,1000,9,Multiple Investors,Japan,Asia,6,2019,Industrials
Clear Street,2,2000,470,Prysm Capital,United States,North America,4,2022,Financial Services
Clearco,2,2000,493,Multiple Investors,Canada,North America,4,2021,Financial Services
Clearcover,1,1000,305,Eldridge,United States,North America,11,2020,Financial Services
ClickHouse,2,2000,300,Thrive Capital,United States,North America,10,2021,Enterprise Tech
ClickUp,4,4000,535,Multiple Investors,United States,North America,12,2020,Enterprise Tech
Climeworks,1,1000,784,Multiple Investors,Switzerland,Europe,5,2021,Industrials
Clio,2,2000,386,Multiple Investors,Canada,North America,4,2021,Enterprise Tech
Clip,2,2000,381,Multiple Investors,Mexico,North America,6,2021,Financial Services
Clipboard Health,1,1000,94,Sequoia Capital,United States,North America,2,2022,Healthcare & Life Sciences
CloudBees,1,1000,236,Goldman Sachs Asset Management,United States,North America,12,2021,Enterprise Tech
Cloudinary,2,2000,0,Multiple Investors,United States,North America,2,2022,Media & Entertainment
CloudWalk,2,2000,345,Coatue,Brazil,South America,9,2021,Financial Services
CloudWalk Technology,5,5000,514,Multiple Investors,China,Asia,7,2022,Enterprise Tech
Clubhouse,4,4000,110,Andreessen Horowitz,United States,North America,1,2021,Media & Entertainment
CMC,6,6000,2000,Multiple Investors,China,Asia,7,2019,Industrials
CMR Surgical,3,3000,1000,Multiple Investors,United Kingdom,Europe,9,2019,Healthcare & Life Sciences
Coalition,5,5000,755,Multiple Investors,United States,North America,3,2021,Insurance
Cockroach Labs,5,5000,633,Greenoaks,United States,North America,1,2021,Enterprise Tech
Coda,1,1000,240,Ontario Teachers' Pension Plan,United States,North America,7,2021,Enterprise Tech
Coda Payments,2,2000,715,Multiple Investors,Singapore,Asia,4,2022,Financial Services
Cognite,2,2000,225,TCV,Norway,Europe,5,2021,Industrials
Cohere,2,2000,435,Inovia Capital,Canada,North America,5,2023,Enterprise Tech
Cohesity,4,4000,660,Multiple Investors,United States,North America,6,2018,Enterprise Tech
CoinDCX,2,2000,247,Multiple Investors,India,Asia,8,2021,Financial Services
CoinList,2,2000,119,Multiple Investors,United States,North America,10,2021,Financial Services
CoinSwitch,2,2000,301,Multiple Investors,India,Asia,10,2021,Financial Services
CoinTracker,1,1000,102,Accel,United States,North America,1,2022,Financial Services
Collective Health,2,2000,719,Health Care Service Corporation,United States,North America,6,2019,Healthcare & Life Sciences
Collibra,5,5000,596,Multiple Investors,Belgium,Europe,1,2019,Enterprise Tech
Color,5,5000,482,Multiple Investors,United States,North America,1,2021,Healthcare & Life Sciences
Colossal Biosciences,1,1000,225,US Innovative Technology Fund,United States,North America,1,2023,Healthcare & Life Sciences
CommerceIQ,1,1000,196,SoftBank Vision Fund,United States,North America,3,2022,Consumer & Retail
commercetools,2,2000,308,Accel,Germany,Europe,5,2020,Enterprise Tech
Commonwealth Fusion,1,1000,2000,Tiger Global Management,United States,North America,12,2021,Industrials
Commure,4,4000,2000,Multiple Investors,United States,North America,9,2021,Healthcare & Life Sciences
Como,1,1000,110,JPMorgan Partners,United Kingdom,Europe,4,2012,Enterprise Tech
ConcertAI,2,2000,300,Sixth Street,United States,North America,3,2022,Healthcare & Life Sciences
ConsenSys,7,7000,660,ParaFi Capital,United States,North America,11,2021,Enterprise Tech
Constellation Automotive Group,7,7000,1000,Multiple Investors,United Kingdom,Europe,5,2022,Consumer & Retail
Contentful,3,3000,333,Tiger Global Management,Germany,Europe,7,2021,Enterprise Tech
Contentsquare,6,6000,1000,Sixth Street,France,Europe,5,2021,Enterprise Tech
Contrast Security,1,1000,269,Liberty Strategic Capital,United States,North America,11,2021,Enterprise Tech
Coocaa,1,1000,218,Baidu,China,Asia,3,2018,Media & Entertainment
Copado,1,1000,271,Insight Partners,United States,North America,9,2021,Enterprise Tech
Copper,2,2000,266,Multiple Investors,United Kingdom,Europe,5,2021,Enterprise Tech
CoreWeave,2,2000,427,Magnetar Capital,United States,North America,4,2023,Enterprise Tech
COSMOplat,1,1000,162,China Development Bank,China,Asia,7,2020,Enterprise Tech
Course Hero,4,4000,477,Wellington Management,United States,North America,2,2020,Consumer & Retail
CRED,6,6000,801,GIC,India,Asia,4,2021,Financial Services
Creditas,5,5000,874,Andbank,Brazil,South America,12,2020,Financial Services
Cresta,2,2000,151,Tiger Global Management,United States,North America,3,2022,Enterprise Tech
Cribl,3,3000,402,Tiger Global Management,United States,North America,8,2021,Enterprise Tech
Cross River Bank,3,3000,775,Multiple Investors,United States,North America,2,2022,Financial Services
Crusoe Energy Systems,2,2000,513,G2 Venture Partners,United States,North America,4,2022,Industrials
Culture Amp,2,2000,257,Multiple Investors,Australia,Oceania,7,2021,Enterprise Tech
Current,2,2000,402,Andreessen Horowitz,United States,North America,4,2021,Financial Services
D2iq,1,1000,247,Multiple Investors,United States,North America,9,2015,Enterprise Tech
Daily Harvest,1,1000,120,Multiple Investors,United States,North America,11,2021,Consumer & Retail
DailyPay,1,1000,189,Carrick Capital Partners,United States,North America,5,2021,Financial Services
DANA,1,1000,250,Sinar Mas Group,Indonesia,Asia,8,2022,Financial Services
Dapper Labs,8,8000,613,Coatue,Canada,North America,3,2021,Media & Entertainment
Darwinbox,1,1000,116,State Bank of India,India,Asia,1,2022,Enterprise Tech
Dataiku,4,4000,847,Wellington Management,United States,North America,12,2019,Enterprise Tech
Dataminr,4,4000,1000,Fidelity,United States,North America,6,2018,Enterprise Tech
DataRobot,6,6000,1000,Multiple Investors,United States,North America,7,2019,Enterprise Tech
DataStax,2,2000,343,GS Growth,United States,North America,5,2021,Enterprise Tech
dbt Labs,4,4000,414,Altimeter Capital,United States,North America,6,2021,Enterprise Tech
DealShare,2,2000,378,Multiple Investors,India,Asia,1,2022,Consumer & Retail
DeepL,1,1000,100,IVP,Germany,Europe,1,2023,Enterprise Tech
Deeproute,1,1000,350,Alibaba Group,China,Asia,8,2022,Enterprise Tech
Degreed,1,1000,390,Multiple Investors,United States,North America,4,2021,Enterprise Tech
Deliverect,1,1000,237,Multiple Investors,Belgium,Europe,1,2022,Consumer & Retail
Density,1,1000,217,Kleiner Perkins,United States,North America,11,2021,Enterprise Tech
Dental Monitoring,1,1000,232,Mérieux Equity Partners,France,Europe,10,2021,Healthcare & Life Sciences
Devo,2,2000,481,Eurazeo,United States,North America,10,2021,Enterprise Tech
Dexterity,1,1000,196,Multiple Investors,United States,North America,10,2021,Consumer & Retail
DFINITY,2,2000,167,Multiple Investors,Switzerland,Europe,5,2018,Enterprise Tech
Dialpad,2,2000,450,ICONIQ Growth,United States,North America,10,2020,Enterprise Tech
Diamond Foundry,2,2000,350,Multiple Investors,United States,North America,3,2021,Industrials
Dianrong,1,1000,549,Multiple Investors,China,Asia,8,2017,Financial Services
Didi Freight,3,3000,2000,Multiple Investors,China,Asia,1,2021,Industrials
Didi Woya,6,6000,1000,Guangzhou Automobile Group,China,Asia,10,2023,Industrials
Digit Insurance,4,4000,586,Peak XV Partners,India,Asia,1,2021,Insurance
DispatchHealth,2,2000,733,Optum Ventures,United States,North America,3,2021,Healthcare & Life Sciences
DistroKid,1,1000,0,Insight Partners,United States,North America,8,2021,Media & Entertainment
Divergent,1,1000,363,Hexagon,United States,North America,4,2022,Industrials
Divvy Homes,2,2000,370,Multiple Investors,United States,North America,8,2021,Financial Services
DJI,8,8000,105,Accel,China,Asia,1,2015,Industrials
DMALL,2,2000,528,Industrial Bank,China,Asia,12,2021,Industrials
Dock,2,2000,280,Multiple Investors,Brazil,South America,5,2022,Financial Services
Docker,2,2000,436,Bain Capital Ventures,United States,North America,10,2015,Enterprise Tech
